Visitor,Home,Week,Day,Date,Time,Bye Week
Eagles,Panthers,7,Sun,25-Oct,8:30 PM,
Ravens,Cardinals,7,Mon,26-Oct,8:30 PM,
Bye,Bye,8,NA,NA,NA,"Bills, Jaguars, Eagles, Redskins", 
Dolphins,Patriots,8,Thu,29-Oct,8:25 PM,
Lions,Chiefs,8,Sun,1-Nov,9:30 AM,
Buccaneers,Falcons,8,Sun,1-Nov,1:00 PM,
Cardinals,Browns,8,Sun,1-Nov,1:00 PM,
49ers,Rams,8,Sun,1-Nov,1:00 PM,
Giants,Saints,8,Sun,1-Nov,1:00 PM,
Vikings,Bears,8,Sun,1-Nov,1:00 PM,
Chargers,Ravens,8,Sun,1-Nov,1:00 PM,
Bengals,Steelers,8,Sun,1-Nov,1:00 PM,
Titans,Texans,8,Sun,1-Nov,1:00 PM,
Jets,Raiders,8,Sun,1-Nov,4:05 PM,
Seahawks,Cowboys,8,Sun,1-Nov,4:25 PM,
Packers,Broncos,8,Sun,1-Nov,8:30 PM,
Colts,Panthers,8,Mon,Nov 02nd,8:30 PM,
Browns,Bengals,9,Thu,5-Nov,8:25 PM,
Packers,Panthers,9,Sun,8-Nov,1:00 PM,
Redskins,Patriots,9,Sun,8-Nov,1:00 PM,
Titans,Saints,9,Sun,8-Nov,1:00 PM,
Dolphins,Bills,9,Sun,8-Nov,1:00 PM,
Rams,Vikings,9,Sun,8-Nov,1:00 PM,
Jaguars,Jets,9,Sun,8-Nov,1:00 PM,
Raiders,Steelers,9,Sun,8-Nov,1:00 PM,
Giants,Buccaneers,9,Sun,8-Nov,4:05 PM,
Falcons,49ers,9,Sun,8-Nov,4:05 PM,
Broncos,Colts,9,Sun,8-Nov,4:25 PM,
Eagles,Cowboys,9,Sun,8-Nov,8:30 PM,
Bears,Chargers,9,Mon,9-Nov,8:30 PM,
Bye,Bye,10,NA,NA,NA,"Falcons, Colts, Chargers, 49ers",
Bills,Jets,10,Thu,12-Nov,8:25 PM,
Lions,Packers,10,Sun,15-Nov,1:00 PM,
Cowboys,Buccaneers,10,Sun,15-Nov,1:00 PM,
Panthers,Titans,10,Sun,15-Nov,1:00 PM,
Bears,Rams,10,Sun,15-Nov,1:00 PM,
Saints,Redskins,10,Sun,15-Nov,1:00 PM,
Dolphins,Eagles,10,Sun,15-Nov,1:00 PM,
Browns,Steelers,10,Sun,15-Nov,1:00 PM,
Jaguars,Ravens,10,Sun,15-Nov,1:00 PM,
Vikings,Raiders,10,Sun,15-Nov,4:05 PM,
Patriots,Giants,10,Sun,15-Nov,4:25 PM,
Chiefs,Broncos,10,Sun,15-Nov,4:25 PM,
Cardinals,Seahawks,10,Sun,15-Nov,8:30 PM,
Texans,Bengals,10,Mon,16-Nov,8:30 PM,
Bye,Bye,11,NA,NA,NA,"Browns, Saints, Giants, Steelers",
Titans,Jaguars,11,Thu,19-Nov,8:25 PM,
Raiders,Lions,11,Sun,Nov 22nd,1:00 PM,
