NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,19,Cardinals,31,22,7,31,18,29,24,25,26
2,2025,19,Falcons,12,23,18,8,14,19,12,24,15
3,2025,19,Ravens,14,11,27,1,15,18,30,9,24
4,2025,19,Bills,8,4,15,2,4,11,2,28,8
5,2025,19,Panthers,20,27,25,21,27,16,15,21,17
6,2025,19,Bears,13,9,8,3,6,23,25,27,29
7,2025,19,Bengals,23,12,6,29,17,30,26,32,31
8,2025,19,Browns,24,31,31,27,30,14,3,17,4
9,2025,19,Cowboys,27,6,2,9,2,32,32,23,30
10,2025,19,Broncos,6,14,11,15,10,4,7,2,2
11,2025,19,Lions,16,3,3,13,5,22,19,13,18
12,2025,19,Packers,19,15,16,16,12,13,14,16,14
13,2025,19,Texans,3,13,13,22,16,1,5,4,1
14,2025,19,Colts,18,8,10,18,9,21,31,7,23
15,2025,19,Jaguars,2,7,12,19,11,9,21,1,11
16,2025,19,Chiefs,29,20,17,24,20,5,11,8,10
26,2025,19,Chargers,10,24,19,14,19,8,6,10,7
29,2025,19,Rams,7,1,1,7,1,10,20,11,16
23,2025,19,Raiders,32,32,28,32,32,25,13,18,13
17,2025,19,Dolphins,21,25,26,12,25,24,18,26,22
18,2025,19,Vikings,9,26,29,23,28,7,1,22,3
19,2025,19,Patriots,4,5,4,5,3,3,8,6,6
20,2025,19,Saints,17,28,14,28,23,15,4,19,9
21,2025,19,Giants,25,16,21,6,13,26,16,31,27
22,2025,19,Jets,30,29,32,10,29,31,17,29,25
24,2025,19,Eagles,15,19,23,17,24,6,10,20,12
25,2025,19,Steelers,11,17,22,26,26,17,29,15,28
27,2025,19,49ers,5,10,5,25,7,12,22,12,20
28,2025,19,Seahawks,1,2,9,10,8,2,9,3,5
30,2025,19,Buccaneers,22,18,20,20,21,20,27,5,19
31,2025,19,Titans,28,30,30,30,31,28,23,14,21
32,2025,19,Commanders,26,21,24,4,22,27,28,30,32
