Player,Team,Pos,Injury,Status,Est. Return
Matthew Caldwell,LAR,QB,Undisclosed,IR,Subscribers Only
Kadarius Calloway,FA,RB,Undisclosed,Questionable,Subscribers Only
Dalevon Campbell,LAC,WR,Leg,IR,Subscribers Only
Parris Campbell,DAL,WR,Undisclosed,Reserve-Ret,Subscribers Only
Derek Carr,NO,QB,Undisclosed,Reserve-Ret,Subscribers Only
Zach Carter,ARI,DT,Knee,IR-R,Subscribers Only
McCallan Castles,FA,TE,Undisclosed,Questionable,Subscribers Only
Tariq Castro-Fields,FA,CB,Heel,Questionable,Subscribers Only
Ty Chandler,NO,RB,Knee,IR,Subscribers Only
Tyreek Chappell,MIN,CB,Undisclosed,IR,Subscribers Only
Zach Charbonnet,SEA,RB,Knee - ACL,PUP-R,Subscribers Only
Irvin Charles,SEA,WR,Undisclosed,IR-R,Subscribers Only
Saahdiq Charles,FA,OG,Calf,Questionable,Subscribers Only
Ja'Marr Chase,CIN,WR,Knee,Questionable,Subscribers Only
Elijah Chatman,CLE,DT,Quadriceps,IR,Subscribers Only
Dan Chisena,FA,WR,Undisclosed,Questionable,Subscribers Only
Brady Christensen,CAR,OG,Hamstring,IR,Subscribers Only
Bud Clark,SEA,S,Ankle,IR,Subscribers Only
Damone Clark,DET,LB,Undisclosed,IR,Subscribers Only
Jadeveon Clowney,HOU,DE,Ankle,Questionable,Subscribers Only
Jordan Colbert,FA,LB,Neck,Questionable,Subscribers Only
Keon Coleman,BUF,WR,Foot,Questionable,Subscribers Only
Chris Collier,LV,RB,Undisclosed,IR,Subscribers Only
Beaux Collins,ATL,WR,Undisclosed,IR-R,Subscribers Only
Trystan Colon,JAX,OG,Personal,Reserve-Ret,Subscribers Only
Ja'Qurious Conley,FA,S,Undisclosed,Questionable,Subscribers Only
James Conner,ARI,RB,Foot,IR-R,Subscribers Only
Anez Cooper,NYJ,OG,Shoulder,IR-R,Subscribers Only
Jonathon Cooper,DEN,LB,Undisclosed,Reserve-CEL,Subscribers Only
Tyler Cooper,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Cotton,FA,CB,Hamstring,Questionable,Subscribers Only
Jacob Cowing,SF,WR,Groin,Questionable,Subscribers Only
River Cracraft,FA,WR,Undisclosed,Questionable,Subscribers Only
Keyron Crawford,LV,LB,Ankle,IR,Subscribers Only
Jacory Croskey-Merritt,WAS,RB,Lower Body,Questionable,Subscribers Only
Frank Crum,DEN,OT,Undisclosed,IR-R,Subscribers Only
Zach Cunningham,FA,LB,Hamstring,Questionable,Subscribers Only
Chase Curtis,FA,TE,Knee,Questionable,Subscribers Only
Fentrell Cypress,FA,CB,Undisclosed,Questionable,Subscribers Only
Drew Dalman,CHI,C,Undisclosed,Reserve-Ret,Subscribers Only
D.J. Davidson,WAS,DT,Undisclosed,Reserve-Ret,Subscribers Only
Gabe Davis,FA,WR,Knee - ACL,Questionable,Subscribers Only
Isaiah Davis,NYJ,RB,Knee,Questionable,Subscribers Only
Kalia Davis,CLE,DT,Quadriceps,IR,Subscribers Only
Luke Deal,FA,TE,Undisclosed,Questionable,Subscribers Only
Trey Dean,GB,S,Undisclosed,IR,Subscribers Only
Justin Dedich,LAR,OG,Undisclosed,IR-R,Subscribers Only
Michael Deiter,DEN,C,Quadriceps,IR,Subscribers Only
Cooper DeJean,PHI,S,Groin,Questionable,Subscribers Only
Tank Dell,HOU,WR,Knee - ACL + MCL,IR-R,Subscribers Only
Oscar Delp,NO,TE,Hamstring,Questionable,Subscribers Only
Dani Dennis-Sutton,GB,LB,Illness,Questionable,Subscribers Only
Cameron Dicker,LAC,K,Undisclosed,Questionable,Subscribers Only
Garrett DiGiorgio,JAX,OG,Undisclosed,IR,Subscribers Only
Victor Dimukeje,FA,LB,Undisclosed,Questionable,Subscribers Only
Will Dissly,FA,TE,Undisclosed,Questionable,Subscribers Only
Thaddeus Dixon,NYG,CB,Achilles,IR,Subscribers Only
Shaun Dolac,LAR,LB,Knee - PCL,Questionable,Subscribers Only
Ethan Downs,KC,DE,Knee - ACL,IR,Subscribers Only
Josh Downs,IND,WR,Calf,Questionable,Subscribers Only
Jack Driscoll,PIT,OT,Undisclosed,IR-R,Subscribers Only
Grant DuBose,FA,WR,Shoulder,Questionable,Subscribers Only
Storm Duck,MIA,CB,Knee,PUP-R,Subscribers Only
Isaiah Dunn,FA,CB,Undisclosed,Questionable,Subscribers Only
Yasir Durant,FA,OG,Undisclosed,Questionable,Subscribers Only
Zane Durant,BUF,DT,Undisclosed,IR-R,Subscribers Only
Zach Durfee,JAX,DE,Upper Body,IR-R,Subscribers Only
Kenny Dyson,FA,LB,Undisclosed,Questionable,Subscribers Only
Brandin Echols,PIT,CB,Ankle,Questionable,Subscribers Only
Power Echols,FA,LB,Undisclosed,Questionable,Subscribers Only
Emeka Egbuka,TB,WR,Toe,Questionable,Subscribers Only
Liam Eichenberg,FA,OG,Knee,Questionable,Subscribers Only
Milo Eifler,TEN,LB,Undisclosed,IR,Subscribers Only
Daniel Ekuale,FA,DT,Knee - ACL,Questionable,Subscribers Only
Ikem Ekwonu,CAR,OT,Knee,PUP-R,Subscribers Only
