Week,Day,Date,Visitor,Home,Time
8,NA,NA,Bye,Bye,"Cardinals, Packers, Jaguars, Rams, Giants, Titans"
8,Thu,Oct 26,Dolphins,Ravens,8:25 PM
8,Sun,Oct 29,Vikings,Browns,9:30 AM
8,Sun,Oct 29,Raiders,Bills,1:00 PM
8,Sun,Oct 29,Colts,Bengals,1:00 PM
8,Sun,Oct 29,Bears,Saints,1:00 PM
8,Sun,Oct 29,Chargers,Patriots,1:00 PM
8,Sun,Oct 29,Falcons,Jets,1:00 PM
8,Sun,Oct 29,49ers,Eagles,1:00 PM
8,Sun,Oct 29,Panthers,Buccaneers,1:00 PM
8,Sun,Oct 29,Texans,Seahawks,4:05 PM
8,Sun,Oct 29,Cowboys,Redskins,4:25 PM
8,Sun,Oct 29,Steelers,Lions,8:30 PM
8,Mon,Oct 30,Broncos,Chiefs,8:30 PM
9,NA,NA,Bye,Bye,"Bears, Browns, Chargers, Vikings, Patriots, Steelers"
9,Thu,Nov 2,Bills,Jets,8:25 PM
9,Sun,Nov 5,Falcons,Panthers,1:00 PM
9,Sun,Nov 5,Colts,Texans,1:00 PM
9,Sun,Nov 5,Bengals,Jaguars,1:00 PM
9,Sun,Nov 5,Buccaneers,Saints,1:00 PM
9,Sun,Nov 5,Rams,Giants,1:00 PM
9,Sun,Nov 5,Ravens,Titans,1:00 PM
9,Sun,Nov 5,Broncos,Eagles,1:00 PM
9,Sun,Nov 5,Redskins,Seahawks,4:05 PM
9,Sun,Nov 5,Cardinals,49ers,4:05 PM
9,Sun,Nov 5,Chiefs,Cowboys,4:25 PM
9,Sun,Nov 5,Raiders,Dolphins,8:30 PM
9,Mon,Nov 6,Lions,Packers,8:30 PM
10,NA,NA,Bye,Bye,"Ravens, Chiefs, Raiders, Eagles"
10,Thu,Nov 9,Seahawks,Cardinals,8:25 PM
10,Sun,Nov 12,Saints,Bills,1:00 PM
10,Sun,Nov 12,Packers,Bears,1:00 PM
10,Sun,Nov 12,Steelers,Colts,1:00 PM
10,Sun,Nov 12,Browns,Lions,1:00 PM
10,Sun,Nov 12,Chargers,Jaguars,1:00 PM
10,Sun,Nov 12,Bengals,Titans,1:00 PM
10,Sun,Nov 12,Jets,Buccaneers,1:00 PM
10,Sun,Nov 12,Vikings,Redskins,1:00 PM
10,Sun,Nov 12,Texans,Rams,4:05 PM
10,Sun,Nov 12,Cowboys,Falcons,4:25 PM
10,Sun,Nov 12,Giants,49ers,4:25 PM
10,Sun,Nov 12,Patriots,Broncos,8:30 PM
10,Mon,Nov 13,Dolphins,Panthers,8:30 PM
11,NA,NA,Bye,Bye,"Panthers, Colts, Dolphins, Jets, 49ers, Buccaneers"
11,Thu,Nov 16,Titans,Steelers,8:25 PM
11,Sun,Nov 19,Lions,Bears,1:00 PM
11,Sun,Nov 19,Jaguars,Browns,1:00 PM
11,Sun,Nov 19,Ravens,Packers,1:00 PM
11,Sun,Nov 19,Cardinals,Texans,1:00 PM
11,Sun,Nov 19,Rams,Vikings,1:00 PM
11,Sun,Nov 19,Redskins,Saints,1:00 PM
11,Sun,Nov 19,Chiefs,Giants,1:00 PM
11,Sun,Nov 19,Bills,Chargers,4:05 PM
11,Sun,Nov 19,Bengals,Broncos,4:25 PM
11,Sun,Nov 19,Patriots,Raiders,4:25 PM
11,Sun,Nov 19,Eagles,Cowboys,8:30 PM
11,Mon,Nov 20,Falcons,Seahawks,8:30 PM
12,Thu,Nov 23,Vikings,Lions,12:30 PM
12,Thu,Nov 23,Chargers,Cowboys,4:30 PM
12,Thu,Nov 23,Giants,Redskins,8:30 PM
12,Sun,Nov 26,Buccaneers,Falcons,1:00 PM
12,Sun,Nov 26,Browns,Bengals,1:00 PM
12,Sun,Nov 26,Titans,Colts,1:00 PM
12,Sun,Nov 26,Bills,Chiefs,1:00 PM
12,Sun,Nov 26,Dolphins,Patriots,1:00 PM
12,Sun,Nov 26,Panthers,Jets,1:00 PM
12,Sun,Nov 26,Bears,Eagles,1:00 PM
12,Sun,Nov 26,Saints,Rams,4:05 PM
12,Sun,Nov 26,Seahawks,49ers,4:05 PM
12,Sun,Nov 26,Jaguars,Cardinals,4:25 PM
12,Sun,Nov 26,Broncos,Raiders,4:25 PM
12,Sun,Nov 26,Packers,Steelers,8:30 PM
12,Mon,Nov 27,Texans,Ravens,8:30 PM
13,Thu,Nov 30,Redskins,Cowboys,8:25 PM
13,Sun,Dec 3,Vikings,Falcons,1:00 PM
13,Sun,Dec 3,Patriots,Bills,1:00 PM
13,Sun,Dec 3,49ers,Bears,1:00 PM
13,Sun,Dec 3,Buccaneers,Packers,1:00 PM
13,Sun,Dec 3,Colts,Jaguars,1:00 PM
13,Sun,Dec 3,Broncos,Dolphins,1:00 PM
13,Sun,Dec 3,Panthers,Saints,1:00 PM
13,Sun,Dec 3,Chiefs,Jets,1:00 PM
13,Sun,Dec 3,Texans,Titans,1:00 PM
13,Sun,Dec 3,Lions,Ravens,1:00 PM
13,Sun,Dec 3,Browns,Chargers,4:05 PM
13,Sun,Dec 3,Rams,Cardinals,4:25 PM
13,Sun,Dec 3,Giants,Raiders,4:25 PM
13,Sun,Dec 3,Eagles,Seahawks,8:30 PM
13,Mon,Dec 4,Steelers,Bengals,8:30 PM
14,Thu,Dec 7,Saints,Falcons,8:25 PM
14,Sun,Dec 10,Colts,Bills,1:00 PM
14,Sun,Dec 10,Vikings,Panthers,1:00 PM
14,Sun,Dec 10,Bears,Bengals,1:00 PM
14,Sun,Dec 10,Packers,Browns,1:00 PM
14,Sun,Dec 10,49ers,Texans,1:00 PM
14,Sun,Dec 10,Seahawks,Jaguars,1:00 PM
14,Sun,Dec 10,Raiders,Chiefs,1:00 PM
14,Sun,Dec 10,Lions,Buccaneers,1:00 PM
14,Sun,Dec 10,Titans,Cardinals,4:05 PM
14,Sun,Dec 10,Jets,Broncos,4:05 PM
14,Sun,Dec 10,Redskins,Chargers,4:05 PM
14,Sun,Dec 10,Cowboys,Giants,4:25 PM
14,Sun,Dec 10,Eagles,Rams,4:25 PM
14,Sun,Dec 10,Ravens,Steelers,8:30 PM
14,Mon,Dec 11,Patriots,Dolphins,8:30 PM
15,Thu,Dec 14,Broncos,Colts,8:25 PM
15,Sat,Dec 16,Bears,Lions,4:30 PM
15,Sat,Dec 16,Chargers,Chiefs,8:25 PM
15,Sun,Dec 17,Dolphins,Bills,1:00 PM
15,Sun,Dec 17,Packers,Panthers,1:00 PM
15,Sun,Dec 17,Ravens,Browns,1:00 PM
15,Sun,Dec 17,Texans,Jaguars,1:00 PM
15,Sun,Dec 17,Bengals,Vikings,1:00 PM
15,Sun,Dec 17,Jets,Saints,1:00 PM
15,Sun,Dec 17,Eagles,Giants,1:00 PM
15,Sun,Dec 17,Cardinals,Redskins,1:00 PM
