Player,Team,Pos,Injury,Status
Nick Gargiulo,13,OG,Knee,IR
Ali Gaye,9,LB,Knee,IR
Brandon George,16,LB,Undisclosed,IR
Antonio Gibson,4,RB,Knee - ACL,IR
Blake Gillikin,31,P,Back,IR
Travis Glover,24,OT,Shoulder,IR
Kyler Gordon,23,CB,Groin,Questionable
Anthony Gould,12,WR,Foot,Questionable
Art Green,20,CB,Hamstring,IR-R
Garret Greenfield,28,OT,Undisclosed,Reserve-Ret
Yetur Gross-Matos,30,DE,Knee,IR
Tyler Guyton,19,OT,Ankle,Questionable
Kyonte Hamilton,10,DT,Ankle,IR
Damar Hamlin,3,S,Pectoral,IR
Blake Hance,9,OG,Shoulder,IR
Deion Hankins,23,RB,Quadriceps,IR
Mecole Hardman,3,WR,Calf,IR
Derrick Harmon,6,DT,Knee,Questionable
Thomas Harper,22,S,Concussion,Questionable
Najee Harris,14,RB,Achilles,IR
Malik Harrison,6,LB,Concussion,Questionable
Marvin Harrison,31,WR,Heel,Questionable
Zach Harrison,26,DE,Knee,IR
Gus Hartwig,2,C,Undisclosed,IR
Rob Havenstein,32,OT,Ankle,IR
DeMarcco Hellams,26,S,Hamstring,IR
Trey Hendrickson,5,DE,Abdomen,Out
Matt Henningsen,13,DT,Achilles,IR
Will Hernandez,31,OG,Hip,IR
Shaka Heyward,5,LB,Lower Leg,IR-R
Jordan Hicks,7,LB,Undisclosed,Reserve-Ret
Tyler Higbee,32,TE,Ankle,IR
Jay Higgins,8,LB,Knee,IR
Tee Higgins,5,WR,Concussion,Questionable
Jamal Hill,10,LB,Hamstring,Questionable
Justice Hill,8,RB,Neck,IR
Tyreek Hill,1,WR,Knee - ACL,IR
Kurt Hinish,10,DT,Undisclosed,PUP-R
Myles Hinton,17,OT,Back,IR-R
KhaDarel Hodge,26,WR,Shoulder,Questionable
Cooper Hodges,11,OG,Knee,PUP-R
Michael Hoecht,3,DE,Achilles,IR
George Holani,29,RB,Hamstring,IR
Jaycee Horn,25,CB,Concussion,Questionable
Tory Horton,29,WR,Shin,IR
Xavien Howard,12,CB,Personal,Reserve-Ret
Sam Hubbard,5,DE,Undisclosed,Reserve-Ret
Charley Hughlett,17,C,Abdomen,IR
Robert Hunt,25,OG,Biceps,IR
Travis Hunter,11,WR,Knee,IR
Adin Huntington,7,DE,Quadriceps,Questionable
Ruben Hyppolite,23,LB,Shoulder,Questionable
Germain Ifedi,1,OT,Undisclosed,IR
Keaontay Ingram,16,RB,Undisclosed,IR
Adisa Isaac,8,LB,Elbow,IR-R
Isaiah Iton,4,DE,Hip,IR
Christian Izien,28,S,Neck,Questionable
Brennan Jackson,15,LB,Foot,IR
Dan Jackson,22,S,Leg,IR
Drake Jackson,18,DE,Knee,Questionable
Landon Jackson,3,DE,Knee,IR
Tarron Jackson,30,DE,Undisclosed,IR
Theo Jackson,21,S,Neck,Questionable
Tyree Jackson,18,TE,Undisclosed,IR
Javontae Jean-Baptiste,18,DE,Pectoral,IR
Elgton Jenkins,24,C,Lower Leg,IR
Terrell Jennings,4,RB,Head,Questionable
Anthony Johnson,20,S,Undisclosed,PUP-R
Caleb Johnson,1,LB,Shoulder,Questionable
Lane Johnson,17,OT,Foot,Questionable
Nazeeh Johnson,16,CB,Shoulder,IR-R
Paris Johnson,31,OT,Knee - MCL,Doubtful
Roschon Johnson,23,RB,Thumb,IR
Braxton Jones,23,OT,Knee,IR
Broderick Jones,6,OT,Neck,IR
Cam Jones,2,LB,Hip,IR-R
Christian Jones,31,OT,Knee,IR-R
D.J. Jones,13,DT,Ankle,Questionable
Daniel Jones,12,QB,Achilles,IR
Dawand Jones,7,OT,Knee,IR
Dom Jones,7,CB,Knee,IR
Emory Jones,26,QB,Concussion,IR
Jamarco Jones,22,OT,Achilles,IR
Justin Jones,31,DT,Knee,IR
Patrick Jones,25,LB,Back,IR
Rob Jones,19,OG,Neck,IR
Zay Jones,31,WR,Achilles,IR
Brevin Jordan,10,TE,Knee,IR
Kerby Joseph,22,S,Knee,Questionable
PJ Jules,5,S,Ankle,Questionable
Kyle Juszczyk,30,FB,Ribs,Questionable
Alvin Kamara,27,RB,Knee - MCL,Questionable
Calijah Kancey,28,DT,Pectoral,IR
Trevor Keegan,19,OG,Neck,IR
Kyu Blu Kelly,15,CB,Knee,IR
Anthony Kendall,7,CB,Undisclosed,IR
Donte Kent,6,CB,Ankle,IR
Ko Kieft,28,TE,Leg,IR
Miles Killebrew,6,S,Knee,IR
Kader Kohou,1,CB,Knee - ACL,IR
Bilhal Kone,8,CB,Knee,IR
Tucker Kraft,24,TE,Knee - ACL,IR
Lucas Krull,13,TE,Foot,IR
Quentin Lake,32,S,Elbow,IR
CeeDee Lamb,19,WR,Concussion,Questionable
Chris Lammons,12,CB,Foot,IR
Brock Lampe,4,RB,Undisclosed,IR
Willie Lampkin,17,C,Knee,IR
Sam LaPorta,22,TE,Back,IR
Lan Larison,4,RB,Foot,IR
Marshon Lattimore,18,CB,Knee - ACL,IR
Matt Lee,5,C,Knee,IR
Riley Leonard,12,QB,Knee - PCL,Questionable
Will Levis,9,QB,Shoulder,IR
Tyquan Lewis,12,DE,Ankle,Questionable
Chris Lindstrom,26,OG,Foot,Questionable
Walker Little,11,OT,Concussion,Questionable
MarShawn Lloyd,24,RB,Calf,IR-R
Drake London,26,WR,Knee - PCL,Questionable
Robert Longerbeam,8,CB,Knee,IR
Isaiahh Loudermilk,6,DE,Ankle,IR
Rick Lovato,14,C,Undisclosed,Reserve-Ret
Dean Lowry,6,DE,Knee,IR
Nnamdi Madubuike,8,DT,Neck,IR
Phil Mafah,19,RB,Shoulder,IR
Christian Mahogany,22,OG,Leg,IR
Jason Maitre,1,CB,Undisclosed,IR
DeAngelo Malone,26,LB,Ankle,IR
Giovanni Manu,22,OT,Knee,IR
