Week  6  Offensive  Scoring  Points per Game  Team  Statistics  Screen,,,,,,,,,,
,,,,,,,,,,
No.,,Week 6,,,,,,,,
,Team City,"Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense"
1,Arizona,6,2,7,11,5,8,9,16,6
2,Atlanta,3,3,8,4,4,17,29,1,20
3,Baltimore,23,11,11,15,9,27,27,9,25
4,Buffalo,10,8,28,7,27,16,23,4,18
5,Carolina,7,6,30,3,28,7,15,12,7
6,Chicago,24,27,25,14,26,32,6,27,9
7,Cincinnati,5,4,6,10,3,9,20,18,21
8,Cleveland,20,12,9,25,10,23,18,32,30
9,Dallas,18,25,17,18,18,22,17,10,12
10,Denver,4,14,18,30,29,4,3,5,2
11,Detroit,31,26,5,32,12,29,22,26,27
12,Green Bay,2,5,20,5,11,3,11,24,16
13,Houston,30,21,4,23,6,21,13,17,11
14,Indianapolis,13,23,13,22,19,18,28,20,29
15,Jacksonville,32,30,12,24,16,30,21,14,19
16,Kansas City,19,22,19,20,20,24,25,11,22
17,Miami,29,24,16,26,24,12,12,31,24
18,Minnesota,16,29,32,6,31,2,14,19,13
19,New England,1,1,2,21,2,10,16,22,17
20,New Orleans,27,18,3,31,7,28,24,30,32
21,NY Giants,12,13,10,28,14,14,30,6,28
22,NY Jets,11,7,21,1,8,1,2,2,1
23,Oakland,22,20,15,27,23,19,31,3,26
24,Philadelphia,15,10,14,19,13,6,19,8,15
25,Pittsburgh,9,9,24,8,17,5,26,7,23
26,San Diego,14,15,1,29,1,26,7,29,14
27,San Francisco,25,32,29,12,30,25,32,15,31
28,Seattle,8,17,27,2,15,11,5,13,4
29,St Louis,17,31,31,13,32,13,10,21,10
30,Tampa Bay,28,19,26,9,21,31,4,25,5
31,Tennessee,27,16,22,16,22,20,1,28,3
32,Washington,21,28,23,17,25,15,8,23,8
,,,,,,,,,,
Weekly Team Stats From:,,,,,,,,,,
