Player,Team,Pos,Injury,Status
Dominique Dafney,FA,TE,Undisclosed,Questionable
Tae Daley,FA,S,Undisclosed,Questionable
Jalen Dalton,FA,DT,Undisclosed,Questionable
Braeden Daniels,WAS,OT,Shoulder,IR
Marcus Davenport,MIN,LB,Ankle,IR
Zach Davidson,BUF,TE,Undisclosed,IR
Corey Davis,FA,WR,Personal,Reserve-Ret
Daewood Davis,FA,WR,Concussion,Questionable
Jarrad Davis,NYG,LB,Knee,IR
Nate Davis,CHI,OG,Ankle,Out
Quartney Davis,FA,WR,Shoulder,Questionable
Shaquan Davis,FA,WR,Undisclosed,Out
Shawn Davis,FA,S,Abdomen,Questionable
Tyler Davis,GB,TE,Knee,IR
Wyatt Davis,NYG,OG,Ankle,IR
Akeem Davis-Gaither,CIN,LB,Knee,Questionable
Duke Dawson,FA,CB,Undisclosed,Questionable
Divine Deablo,LV,LB,Ankle,Questionable
Dylan Deatherage,FA,OT,Undisclosed,Questionable
Dawson Deaton,CLE,OG,Knee - ACL,IR
Tank Dell,HOU,WR,Concussion,Questionable
Trevon Diggs,DAL,CB,Knee - ACL,IR
Brandon Dillon,WAS,TE,Undisclosed,IR
J.K. Dobbins,BAL,RB,Achilles,IR
Andrew Dowell,NO,LB,Knee - ACL,IR
Tommy Doyle,BUF,OT,Knee,IR
Dakota Dozier,FA,OG,Knee - ACL,Questionable
Josh Drayden,FA,CB,Undisclosed,Questionable
Greg Dulcich,DEN,TE,Hamstring,IR
Ashton Dulin,IND,WR,Knee - ACL,IR
Michael Dunn,CLE,OG,Calf,IR
Yasir Durant,FA,OG,Undisclosed,Questionable
David Durden,DAL,WR,Knee - ACL,IR
Nate Ebner,FA,S,Ankle,Questionable
Trestan Ebner,FA,RB,Concussion,Questionable
Brandin Echols,NYJ,CB,Hamstring,Questionable
Chase Edmonds,TB,RB,Knee - MCL,IR-R
Duke Ejiofor,FA,LB,Undisclosed,Questionable
Daniel Ekuale,NE,DT,Biceps,IR
Pat Elflein,ARI,C,Undisclosed,IR
Tino Ellis,FA,CB,Undisclosed,Questionable
Ikenna Enechukwu,ATL,LB,Undisclosed,IR
Donnie Ernsberger,FA,TE,Undisclosed,Questionable
Zach Ertz,ARI,TE,Quadriceps,IR
Tyler Ervin,FA,RB,Foot,Questionable
Drew Estrada,FA,WR,Achilles,Questionable
Justin Evans,PHI,S,Knee,IR
Gerald Everett,LAC,TE,Quadriceps,Questionable
Joshua Ezeudu,NYG,OT,Toe,IR
Erik Ezukanma,MIA,WR,Neck,NFI-R
Jequez Ezzard,FA,WR,Undisclosed,Questionable
Brandon Facyson,LV,CB,Shin,IR
Diego Fagot,FA,LB,Undisclosed,Questionable
Austin Faoliu,SEA,DT,Knee,PUP-R
Caleb Farley,TEN,CB,Back,PUP-R
Dan Feeney,CHI,C,Knee,Questionable
Matt Feiler,TB,OG,Knee,Questionable
Rashad Fenton,ARI,CB,Undisclosed,IR
Ethan Fernea,FA,WR,Undisclosed,Questionable
Justin Fields,CHI,QB,Thumb,Doubtful
Sharif Finch,FA,LB,Undisclosed,Questionable
Eric Fisher,FA,OT,Calf,Questionable
Demetrius Flannigan-Fowles,SF,LB,Ankle,Questionable
Dallis Flowers,IND,CB,Achilles,IR
Trey Flowers,FA,LB,Foot,Questionable
Drew Forbes,CLE,OG,Back,NFI-R
Dee Ford,FA,DE,Back,Questionable
Isaiah Ford,FA,WR,Undisclosed,Questionable
Jerome Ford,CLE,RB,Ankle,Doubtful
Bryce Ford-Wheaton,NYG,WR,Knee,IR
Darrick Forrest,WAS,S,Shoulder,IR
L.J. Fort,FA,LB,Knee - ACL,Questionable
Jody Fortson,KC,TE,Shoulder,IR
John Franklin,FA,WR,Knee - ACL,Questionable
Feleipe Franks,ATL,TE,Undisclosed,IR
Pat Freiermuth,PIT,TE,Hamstring,IR
Kyle Fuller,FA,CB,Knee - ACL,Questionable
Will Fuller,FA,WR,Finger,Questionable
Russell Gage,TB,WR,Knee,IR
Jon Gaines,ARI,C,Knee,IR
Tipa Galeai,FA,LB,Hamstring,Questionable
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable
Sauce Gardner,NYJ,CB,Concussion,Questionable
C.J. Gardner-Johnson,DET,S,Pectoral,IR
Ben Garland,FA,C,Calf,Questionable
Jimmy Garoppolo,LV,QB,Back,Questionable
Luke Gifford,TEN,LB,Hamstring,Questionable
Mark Gilbert,FA,CB,Undisclosed,Questionable
Cullen Gillaspia,FA,LB,Knee,Questionable
Alohi Gilman,LAC,S,Heel,Questionable
Jordan Glasgow,FA,LB,Undisclosed,Questionable
Chris Godwin,TB,WR,Neck,Questionable
Eddie Goldman,ATL,DT,Undisclosed,Reserve-Ex
