Player,Team,Pos,Injury,Status
Matt Nelson,11,OT,Ankle,IR
Josh Paschal,11,DE,Knee,IR-R
Nate Sudfeld,11,QB,Knee - ACL,IR
Shane Zylstra,11,TE,Knee,IR
Zayne Anderson,12,S,Hamstring,Questionable
David Bakhtiari,12,OT,Knee,IR
De'Vondre Campbell,12,LB,Ankle,Questionable
Tyler Davis,12,TE,Knee,IR
Aaron Jones,12,RB,Hamstring,Questionable
Darnell Savage,12,S,Calf,Questionable
Eric Stokes,12,CB,Foot,PUP-R
Luke Tenuta,12,OT,Ankle,IR
Quay Walker,12,LB,Knee,Questionable
Tank Dell,13,WR,Concussion,Questionable
Kendrick Green,13,OG,Knee - Meniscus,IR
Kenyon Green,13,OG,Shoulder - Labrum,IR
Troy Hairston,13,FB,Back,IR
Charlie Heck,13,OT,Foot,PUP-R
Jesse Matthews,13,WR,Knee - ACL,IR
Eric Murray,13,S,Knee,Questionable
Scott Quessenberry,13,C,Knee - ACL + MCL,IR
Hassan Ridgeway,13,DT,Calf,IR
DJ Scaife,13,OT,Leg,IR
Juice Scruggs,13,C,Hamstring,IR
Derek Stingley,13,CB,Hamstring,IR
Kilian Zierer,13,OT,Ankle,IR
Genard Avery,14,DE,Knee - Meniscus,IR
Ashton Dulin,14,WR,Knee - ACL,IR
Dallis Flowers,14,CB,Achilles,IR
Evan Hull,14,RB,Knee,IR
Titus Leo,14,DE,Undisclosed,IR
Alec Pierce,14,WR,Shoulder,Questionable
Danny Pinter,14,C,Ankle,IR
Anthony Richardson,14,QB,Shoulder - AC Joint,IR
Daniel Scott,14,S,Knee - ACL,IR
Braden Smith,14,OT,Foot,Questionable
Jake Witt,14,OT,Hip,IR
Jelani Woods,14,TE,Hamstring,IR
Christian Braswell,15,CB,Hamstring,IR
Tyson Campbell,15,CB,Hamstring,Questionable
Chris Claybrooks,15,CB,Undisclosed,Reserve-CEL
DaVon Hamilton,15,DT,Back,IR-R
Cooper Hodges,15,OT,Knee,IR
Zay Jones,15,WR,Knee,Questionable
Gregory Junior,15,CB,Hamstring,IR
Trevor Lawrence,15,QB,Knee,Questionable
Walker Little,15,OG,Knee,Questionable
Ventrell Miller,15,LB,Achilles,IR
Jaylon Moore,15,WR,Undisclosed,IR
Sammis Reyes,15,TE,Concussion,Reserve-Ret
Brandon Scherff,15,OG,Ankle,Questionable
Leonard Taylor,15,TE,Undisclosed,IR
Parker Washington,15,WR,Knee,IR
Jody Fortson,16,TE,Shoulder,IR
Richie James,16,WR,Knee - MCL,IR
Nazeeh Johnson,16,S,Knee - ACL,IR
Nikko Remigio,16,WR,Wrist,IR
Prince Tega Wanogho,16,OT,Quadriceps,IR
Justin Watson,16,WR,Elbow,Questionable
Joey Bosa,18,LB,Toe,Questionable
Alohi Gilman,18,S,Heel,Doubtful
Jalen Guyton,18,WR,Knee - ACL,PUP-R
Deane Leonard,18,CB,Hamstring,Doubtful
Corey Linsley,18,C,Illness,NFI-R
Otito Ogbonnia,18,DT,Kneecap,PUP-R
Joshua Palmer,18,WR,Groin,Questionable
Donald Parham,18,TE,Wrist,Questionable
Andrew Trainer,18,OT,Undisclosed,IR
AJ Uzodinma,18,CB,Undisclosed,IR
Mike Williams,18,WR,Knee - ACL,IR
Nick Williams,18,DT,Back,Questionable
JT Woods,18,S,Illness,NFI-R
Stetson Bennett,19,QB,Illness,NFI-R
Bobby Brown,19,DT,Knee - MCL,IR
Hunter Long,19,TE,Thigh,IR
Sony Michel,19,RB,Undisclosed,Reserve-Ret
Larrell Murchison,19,DT,Knee,Questionable
Joe Noteboom,19,OG,Groin,Questionable
Ronnie Rivers,19,RB,Knee - PCL,Questionable
Jason Taylor,19,S,Groin,IR
Kyren Williams,19,RB,Ankle,Questionable
Curtis Bolton,17,LB,Knee,IR
Brittain Brown,17,RB,Undisclosed,IR
Darien Butler,17,LB,Undisclosed,IR
Brandon Facyson,17,CB,Shin,IR
Jimmy Garoppolo,17,QB,Back,Questionable
Justin Herron,17,OT,Concussion,Questionable
Nate Hobbs,17,CB,Ankle,Questionable
Roderic Teamer,17,S,Hamstring,Questionable
Dalton Wagner,17,OT,Undisclosed,IR
Austin Walter,17,RB,Undisclosed,IR
De'Von Achane,20,RB,Knee,IR
Terron Armstead,20,OT,Knee,IR
Chris Brooks,20,RB,Ankle,Questionable
River Cracraft,20,WR,Shoulder,IR
Keion Crossen,20,CB,Undisclosed,IR
Erik Ezukanma,20,WR,Neck,NFI-R
Xavien Howard,20,CB,Groin,Questionable
Nik Needham,20,CB,Achilles,PUP-R
Jalen Ramsey,20,CB,Knee - Meniscus,IR
Zeke Vandenburgh,20,LB,Undisclosed,IR
Connor Williams,20,C,Groin,Questionable
Jeff Wilson,20,RB,Ribs,IR-R
Ezra Cleveland,21,OG,Foot,Questionable
Marcus Davenport,21,LB,Ankle,Questionable
Akayleb Evans,21,CB,Oblique,Questionable
Justin Jefferson,21,WR,Hamstring,IR
Malik Knowles,21,WR,Undisclosed,NFI-R
William Kwenkeu,21,LB,Undisclosed,IR
James Lynch,21,DT,Knee - ACL,IR
Nick Mullens,21,QB,Back,IR
Jalen Nailor,21,WR,Hamstring,IR
Kene Nwangwu,21,RB,Back,IR-R
Chris Reed,21,OG,Lower Leg,NFI-R
Olisaemeka Udoh,21,OT,Quadriceps,IR
Isaiah Bolden,22,CB,Concussion,IR
Cody Davis,22,S,Knee,PUP-R
Demario Douglas,22,WR,Concussion,Questionable
Daniel Ekuale,22,DT,Biceps,IR
Trey Flowers,22,LB,Foot,PUP-R
Christian Gonzalez,22,CB,Shoulder - Labrum,IR
Terez Hall,22,LB,Undisclosed,IR
Jack Jones,22,CB,Hamstring,IR
Jonathan Jones,22,CB,Knee,Questionable
Marcus Jones,22,CB,Shoulder,IR
Matthew Judon,22,LB,Biceps,IR
Raekwon McMillan,22,LB,Achilles,IR
Tre Nixon,22,WR,Shoulder,IR
Riley Reiff,22,OT,Knee,Questionable
JuJu Smith-Schuster,22,WR,Concussion,Questionable
Cole Strange,22,OG,Knee,Questionable
Josh Uche,22,LB,Foot,Questionable
Tyrone Wheatley,22,OT,Knee,IR
Keion White,22,DE,Head,Questionable
Eno Benjamin,23,RB,Achilles,IR
Andrew Dowell,23,LB,Knee - ACL,IR
J.T. Gray,23,S,Hamstring,Questionable
Jake Haener,23,QB,Suspension,Reserve-Sus
James Hurst,23,OT,Ankle,Questionable
Juwan Johnson,23,TE,Calf,Questionable
Lonnie Johnson,23,S,Hamstring,Questionable
Adam Prentice,23,FB,Knee,IR
Ryan Ramczyk,23,OT,Concussion,Questionable
Payton Turner,23,DE,Toe,IR
Trai Turner,23,OG,Quadriceps,IR
Jamaal Williams,23,RB,Hamstring,IR
Landon Young,23,OT,Hip,Questionable
Jabari Zuniga,23,DE,Undisclosed,Reserve-Ret
D.J. Davidson,24,DT,Knee,Questionable
Jarrad Davis,24,LB,Knee,IR
Wyatt Davis,24,OG,Ankle,IR
Joshua Ezeudu,24,OT,Toe,Questionable
Bryce Ford-Wheaton,24,WR,Knee,IR
J.C. Hassenauer,24,C,Triceps,IR
Adoree' Jackson,24,CB,Neck,Questionable
Daniel Jones,24,QB,Neck,Questionable
Chris Myarick,24,FB,Hand,IR
Azeez Ojulari,24,LB,Ankle,IR
Matt Peart,24,OT,Shoulder,Questionable
Aaron Robinson,24,CB,Knee - ACL + MCL,PUP-R
John Michael Schmitz,24,C,Shoulder,Questionable
