Player,Team,Pos,Injury,Status
Jason Cabinda,DET,FB,Knee,IR
C.J. Gardner-Johnson,DET,S,Pectoral,IR
Jahmyr Gibbs,DET,RB,Hamstring,Questionable
Hendon Hooker,DET,QB,Knee - ACL,NFI-R
James Houston,DET,LB,Ankle,IR
Jonah Jackson,DET,OG,Ankle,Questionable
Zonovan Knight,DET,RB,Shoulder,IR
James Mitchell,DET,TE,Hamstring,Questionable
David Montgomery,DET,RB,Ribs,Questionable
Emmanuel Moseley,DET,CB,Knee - ACL,IR
Matt Nelson,DET,OT,Ankle,IR
Josh Paschal,DET,DE,Knee,IR-R
Nate Sudfeld,DET,QB,Knee - ACL,IR
Shane Zylstra,DET,TE,Knee,IR
Andrew Adams,FA,S,Knee,Questionable
Otaro Alaka,FA,LB,Undisclosed,Questionable
Christian Albright,FA,LB,Undisclosed,Questionable
Mackensie Alexander,FA,CB,Undisclosed,Questionable
Chase Allen,FA,TE,Undisclosed,Questionable
Christopher Allen,FA,LB,Groin,Questionable
Torrence Allen,FA,WR,Undisclosed,Questionable
Jaquan Amos,FA,S,Undisclosed,Questionable
Darius Anderson,FA,RB,Knee,Questionable
Jack Anderson,FA,OG,Undisclosed,Out
Ezekiel Ansah,FA,DE,Biceps,Questionable
Jaytlin Askew,FA,CB,Quadriceps,Questionable
C. J. Avery,FA,LB,Undisclosed,Questionable
Alex Bachman,FA,WR,Oblique,Questionable
Daylen Baldwin,FA,WR,Hamstring,Questionable
Matt Barkley,FA,QB,Elbow,Questionable
Evan Baylis,FA,TE,Ankle,Questionable
Abraham Beauplan,FA,LB,Undisclosed,Questionable
Willie Beavers,FA,OG,Undisclosed,Questionable
Nate Becker,FA,TE,Undisclosed,Questionable
B.J. Bello,FA,LB,Ankle,Questionable
Rashod Berry,FA,DE,Suspension,Reserve-Sus
Marquise Blair,FA,S,Undisclosed,Questionable
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus
C.J. Board,FA,WR,Ribs,Questionable
Devante Bond,FA,LB,Knee,Questionable
Jon Bostic,FA,LB,Pectoral,Questionable
Kris Boyd,FA,CB,Hip,Questionable
Ben Braden,FA,OG,Undisclosed,Questionable
Ja'Marcus Bradley,FA,WR,Undisclosed,Questionable
Beau Brinkley,FA,C,Undisclosed,Questionable
Daniel Brown,FA,TE,Hip,Questionable
Jayon Brown,FA,LB,Hand,Questionable
Mike Brown,FA,OG,Undisclosed,Questionable
Shakur Brown,FA,CB,Undisclosed,Questionable
Troy Brown,FA,LB,Undisclosed,Questionable
Hunter Bryant,FA,TE,Undisclosed,Questionable
Bryan Bulaga,FA,OT,Back,Questionable
Ian Bunting,FA,TE,Neck,Questionable
Hakeem Butler,FA,WR,Undisclosed,Questionable
Vernon Butler,FA,DT,Undisclosed,Questionable
Akial Byers,FA,DT,Undisclosed,Questionable
Damiere Byrd,FA,WR,Hamstring,Questionable
Ibraheim Campbell,FA,S,Ankle,Questionable
Marcus Cannon,FA,OT,Concussion,Questionable
Trenton Cannon,FA,RB,Knee,Questionable
Dylan Cantrell,FA,TE,Undisclosed,Questionable
Patrick Carr,FA,RB,Undisclosed,Questionable
Jamal Carter,FA,S,Undisclosed,Questionable
Jerome Carvin,FA,C,Undisclosed,Questionable
Quintez Cephus,FA,WR,Suspension,Reserve-Sus
Taco Charlton,FA,DE,Undisclosed,Questionable
Cole Christiansen,FA,LB,Hamstring,Out
DeMarcus Christmas,FA,DT,Undisclosed,Questionable
Darius Clark,FA,RB,Knee,Questionable
Frank Clark,FA,LB,Illness,Questionable
Adrian Colbert,FA,S,Undisclosed,Questionable
Tom Compton,FA,OT,Back,Questionable
Gareon Conley,FA,CB,Ankle,Questionable
Ryan Connelly,FA,LB,Knee,Out
Cody Conway,FA,OT,Knee - ACL,Questionable
Cody Core,FA,WR,Undisclosed,Questionable
Jeff Cotton,FA,WR,Undisclosed,Questionable
Nathan Cottrell,FA,RB,Undisclosed,Questionable
Kekoa Crawford,FA,WR,Undisclosed,Questionable
Tyrell Crosby,FA,OT,Back,Questionable
Isaiah Crowell,FA,RB,Achilles,Questionable
Dominique Dafney,FA,TE,Undisclosed,Questionable
Tae Daley,FA,S,Undisclosed,Questionable
Jalen Dalton,FA,DT,Undisclosed,Questionable
Corey Davis,FA,WR,Personal,Reserve-Ret
Daewood Davis,FA,WR,Concussion,Questionable
Quartney Davis,FA,WR,Shoulder,Questionable
Shaquan Davis,FA,WR,Undisclosed,Out
Shawn Davis,FA,S,Abdomen,Questionable
Duke Dawson,FA,CB,Undisclosed,Questionable
Dylan Deatherage,FA,OT,Undisclosed,Questionable
Dakota Dozier,FA,OG,Knee - ACL,Questionable
Josh Drayden,FA,CB,Undisclosed,Questionable
Yasir Durant,FA,OG,Undisclosed,Questionable
Nate Ebner,FA,S,Ankle,Questionable
Trestan Ebner,FA,RB,Concussion,Questionable
Duke Ejiofor,FA,LB,Undisclosed,Questionable
Tino Ellis,FA,CB,Undisclosed,Questionable
Noah Elliss,FA,DT,Undisclosed,Questionable
Donnie Ernsberger,FA,TE,Undisclosed,Questionable
Tyler Ervin,FA,RB,Foot,Questionable
Drew Estrada,FA,WR,Achilles,Questionable
Jequez Ezzard,FA,WR,Undisclosed,Questionable
Diego Fagot,FA,LB,Undisclosed,Questionable
Ethan Fernea,FA,WR,Undisclosed,Questionable
Sharif Finch,FA,LB,Undisclosed,Questionable
Eric Fisher,FA,OT,Calf,Questionable
Dee Ford,FA,DE,Back,Questionable
Isaiah Ford,FA,WR,Undisclosed,Questionable
L.J. Fort,FA,LB,Knee - ACL,Questionable
John Franklin,FA,WR,Knee - ACL,Questionable
Kyle Fuller,FA,CB,Knee - ACL,Questionable
Will Fuller,FA,WR,Finger,Questionable
Tipa Galeai,FA,LB,Hamstring,Questionable
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable
Ben Garland,FA,C,Calf,Questionable
Mark Gilbert,FA,CB,Undisclosed,Questionable
Cullen Gillaspia,FA,LB,Knee,Questionable
Jordan Glasgow,FA,LB,Undisclosed,Questionable
Matt Gono,FA,OT,Neck,Questionable
Zane Gonzalez,FA,K,Calf,Questionable
Tay Gowan,FA,CB,Undisclosed,Questionable
Jaeden Graham,FA,TE,Undisclosed,Questionable
Virgil Green,FA,TE,Ankle,Questionable
Raven Greene,FA,S,Undisclosed,Questionable
Everson Griffen,FA,DE,Personal,Questionable
Trevon Grimes,FA,WR,Undisclosed,Questionable
Ryan Groy,FA,OG,Triceps,Questionable
Grant Haley,FA,CB,Knee - ACL,Questionable
Emanuel Hall,FA,WR,Achilles,Questionable
Kemon Hall,FA,CB,Undisclosed,Questionable
DaeSean Hamilton,FA,WR,Undisclosed,Questionable
Devery Hamilton,FA,OT,Lower Leg,Questionable
Saquan Hampton,FA,S,Achilles,Questionable
Jake Hanson,FA,C,Shin,Questionable
Tre Harbison,FA,RB,Concussion,Questionable
Clark Harris,FA,C,Biceps,Questionable
Darius Harris,FA,LB,Undisclosed,Questionable
Dwayne Harris,FA,WR,Triceps,Questionable
Penny Hart,FA,WR,Concussion,Questionable
Montre Hartage,FA,S,Undisclosed,Questionable
Kolby Harvell-Peel,FA,S,Hamstring,Questionable
Broughton Hatcher,FA,C,Undisclosed,Questionable
Jerald Hawkins,FA,OT,Undisclosed,Questionable
Tayler Hawkins,FA,S,Hand,Questionable
Daelin Hayes,FA,LB,Undisclosed,Questionable
Joel Heath,FA,DE,Knee - ACL,Questionable
Xavier Henderson,FA,S,Undisclosed,Questionable
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable
Chandon Herring,FA,OG,Undisclosed,Questionable
Parker Hesse,FA,TE,Undisclosed,Out
Dontrell Hilliard,FA,RB,Neck,Questionable
Will Holden,FA,OT,Calf,Questionable
Cody Hollister,FA,WR,Neck,Questionable
Jacob Hollister,FA,TE,Undisclosed,Questionable
Gabriel Houy,FA,OT,Undisclosed,Questionable
Hayden Howerton,FA,OG,Undisclosed,Out
Jonathan Hubbard,FA,OT,Undisclosed,Questionable
Rodney Hudson,FA,C,Knee,Questionable
Caleb Huntley,FA,RB,Achilles,Questionable
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret
Allen Hurns,FA,WR,Wrist,Questionable
John Hurst,FA,WR,Ankle,Questionable
Ishmael Hyman,FA,WR,Undisclosed,Questionable
Mohamed Ibrahim,FA,RB,Undisclosed,Questionable
George Iloka,FA,S,Knee - ACL,Questionable
Mark Ingram,FA,RB,Knee - MCL,Questionable
Matt Ioannidis,FA,DT,Back,Questionable
Isaiah Irving,FA,LB,Back,Questionable
Thomas Ives,FA,WR,Undisclosed,Questionable
Branden Jackson,FA,DE,Spine,Questionable
Warren Jackson,FA,WR,Undisclosed,Questionable
Ja'Wuan James,FA,OT,Achilles,Questionable
Jalen Jelks,FA,DE,Undisclosed,Questionable
Jaray Jenkins,FA,WR,Undisclosed,Questionable
Jordan Jenkins,FA,DE,Knee - ACL,Questionable
Bisi Johnson,FA,WR,Knee - ACL,Questionable
Darryl Johnson,FA,LB,Undisclosed,Questionable
Dontae Johnson,FA,CB,Knee - ACL,Questionable
Jahmir Johnson,FA,OT,Undisclosed,Questionable
Josh Johnson,FA,RB,Undisclosed,Questionable
Willie Johnson,FA,WR,Undisclosed,Questionable
Shaun Jolly,FA,CB,Undisclosed,Questionable
Ben Jones,FA,C,Undisclosed,Questionable
Brett Jones,FA,C,Biceps,Questionable
Byron Jones,FA,CB,Achilles,Questionable
Chandler Jones,FA,DE,Personal,Questionable
Chris Jones,FA,P,Abdomen,Questionable
Devin Jones,FA,CB,Undisclosed,Questionable
Josh Jones,FA,S,Hamstring,Questionable
Vi Jones,FA,LB,Ankle,Questionable
Xavier Jones,FA,RB,Achilles,Questionable
Dion Jordan,FA,DE,Knee,Questionable
Karl Joseph,FA,S,Ankle,Questionable
Lamarcus Joyner,FA,S,Hip,Questionable
Matt Kaskey,FA,OT,Undisclosed,Questionable
Silas Kelly,FA,LB,Undisclosed,Questionable
Tom Kennedy,FA,WR,Arm,Questionable
Brandon King,FA,LB,Hamstring,Questionable
Dre Kirkpatrick,FA,CB,Ankle,Questionable
Micah Kiser,FA,LB,Leg,Questionable
Jake Kumerow,FA,WR,Back,Questionable
Bruno Labelle,FA,TE,Undisclosed,Questionable
Chris Lacy,FA,WR,Undisclosed,Questionable
Dayan Lake,FA,CB,Undisclosed,Questionable
Forrest Lamp,FA,OG,Undisclosed,Questionable
Jarvis Landry,FA,WR,Ankle,Questionable
Ted Larsen,FA,OG,Knee,Questionable
Scott Lashley,FA,OT,Undisclosed,Questionable
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable
Darron Lee,FA,LB,Undisclosed,Questionable
Jason Lewan,FA,DE,Back,Questionable
Taylor Lewan,FA,OT,Knee - ACL,Questionable
Donnie Lewis,FA,CB,Undisclosed,Questionable
Tommylee Lewis,FA,WR,Hip,Questionable
Greg Little,FA,OT,Back,Questionable
Greg Long,FA,OT,Undisclosed,Questionable
Bryce Love,FA,RB,Knee,Questionable
John Lovett,FA,FB,Undisclosed,Questionable
Blake Lynch,FA,LB,Undisclosed,Questionable
Alize Mack,FA,TE,Undisclosed,Questionable
Ledarius Mack,FA,LB,Undisclosed,Questionable
Cole Madison,FA,OG,Knee - ACL,Questionable
Cassius Marsh,FA,LB,Knee,Questionable
Kamal Martin,FA,LB,Undisclosed,Questionable
Koda Martin,FA,OG,Undisclosed,Questionable
Marcus Martin,FA,C,Undisclosed,Questionable
Wes Martin,FA,OG,Concussion,Questionable
Mac McCain,FA,CB,Undisclosed,Questionable
Tucker McCann,FA,K,Undisclosed,Questionable
Conor McDermott,FA,OT,Undisclosed,Questionable
Codey McElroy,FA,TE,Foot,Questionable
Kyric McGowan,FA,WR,Undisclosed,Questionable
Anthony McKinney,FA,OT,Undisclosed,Questionable
J.D. McKissic,FA,RB,Neck,Questionable
Sherrick McManis,FA,S,Hamstring,Questionable
Tony McRae,FA,CB,Knee,Questionable
Montrel Meander,FA,LB,Achilles,Questionable
Steven Means,FA,LB,Achilles,Questionable
Obi Melifonwu,FA,S,Undisclosed,Questionable
Nicolas Melsop,FA,OG,Undisclosed,Questionable
Forrest Merrill,FA,DT,Undisclosed,Questionable
Osirus Mitchell,FA,WR,Quadriceps,Questionable
Taquan Mizzell,FA,WR,Undisclosed,Questionable
Jovante Moffatt,FA,S,Undisclosed,Questionable
Donte Moncrief,FA,WR,Undisclosed,Questionable
Henry Mondeaux,FA,DE,Undisclosed,Questionable
C.J. Moore,FA,S,Suspension,Reserve-Sus
J'Mon Moore,FA,WR,Undisclosed,Questionable
Jalin Moore,FA,RB,Ankle,Reserve-Ret
Jimmy Moreland,FA,CB,Hand,Questionable
Jordan Mosley,FA,S,Undisclosed,Questionable
T.D. Moultry,FA,LB,Undisclosed,Questionable
Kyle Murphy,FA,OG,Ankle,Questionable
Chris Murray,FA,C,Undisclosed,Questionable
Ryan Nall,FA,FB,Shoulder,Questionable
Isaac Nauta,FA,TE,Undisclosed,Questionable
Haggai Ndubuisi,FA,OT,Finger,Out
Sharrod Neasman,FA,S,Undisclosed,Questionable
Nick Nelson,FA,CB,Undisclosed,Questionable
Lew Nichols,FA,RB,Shoulder,Questionable
Hardy Nickerson,FA,LB,Concussion,Questionable
Elijah Nkansah,FA,OT,Undisclosed,Questionable
Desmond Noel,FA,OG,Undisclosed,Questionable
Quinn Nordin,FA,K,Undisclosed,Questionable
Jared Norris,FA,LB,Shoulder,Questionable
Andrew Norwell,FA,OG,Hip,Questionable
Nick O'Leary,FA,TE,Chest,Questionable
Leon O'Neal,FA,S,Undisclosed,Questionable
