nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,02,Cardinals,5,5,8,16,11,4,15,11,13
2,2016,02,Falcons,21,7,1,17,2,26,22,27,29
3,2016,02,Ravens,13,24,16,23,20,6,1,16,2
4,2016,02,Bills,27,23,30,24,30,17,24,15,23
5,2016,02,Panthers,6,1,15,1,3,27,7,18,7
6,2016,02,Bears,29,30,29,26,31,30,6,22,9
7,2016,02,Bengals,9,21,2,31,10,21,11,32,16
8,2016,02,Browns,32,29,27,8,24,24,21,17,20
9,2016,02,Cowboys,18,15,17,13,15,13,18,13,18
10,2016,02,Broncos,8,11,26,4,16,23,2,24,6
11,2016,02,Lions,22,13,7,9,6,18,23,20,26
12,2016,02,Packers,1,19,31,19,29,19,19,1,11
13,2016,02,Texans,7,17,23,11,19,5,3,12,3
14,2016,02,Colts,19,10,14,22,18,31,25,29,30
15,2016,02,Jaguars,23,25,5,30,13,32,8,26,12
16,2016,02,Chiefs,11,16,18,15,17,16,16,30,17
17,2016,02,Dolphins,28,27,13,27,25,10,17,31,27
18,2016,02,Vikings,12,18,20,32,28,8,10,6,5
19,2016,02,Patriots,2,12,9,7,5,11,28,9,25
01,2016,02,Saints,24,14,4,29,9,12,30,23,31
21,2016,02,Giants,16,26,11,20,14,9,13,4,8
22,2016,02,Jets,15,6,10,5,4,25,26,5,19
23,2016,02,Raiders,10,3,6,2,1,22,32,21,32
24,2016,02,Eagles,20,8,24,10,21,3,5,10,4
25,2016,02,Steelers,4,4,12,6,8,2,31,2,22
26,2016,02,Chargers,25,2,25,3,12,14,29,7,24
27,2016,02,49ers,30,9,28,12,27,20,12,25,15
28,2016,02,Seahawks,3,31,21,18,26,1,4,3,1
29,2016,02,Rams,31,32,32,28,32,7,9,19,10
30,2016,02,Buccaneers,14,22,19,21,23,29,27,8,21
31,2016,02,Titans,26,28,22,14,22,15,14,14,14
32,2016,02,Redskins,17,20,3,25,7,28,20,28,28
