season,gametypeid,week,team
2026,2,5,Panthers
2026,2,5,Chiefs
2026,2,6,Bengals
2026,2,6,Lions
2026,2,6,Dolphins
2026,2,6,Vikings
2026,2,7,Bills
2026,2,7,Jaguars
2026,2,7,Chargers
2026,2,7,Commanders
2026,2,8,Texans
2026,2,8,Giants
2026,2,8,Saints
2026,2,8,49ers
2026,2,9,Steelers
2026,2,9,Titans
2026,2,10,Bears
2026,2,10,Broncos
2026,2,10,Eagles
2026,2,10,Buccaneers
2026,2,11,Falcons
2026,2,11,Browns
2026,2,11,Packers
2026,2,11,Rams
2026,2,11,Patriots
2026,2,11,Seahawks
2026,2,13,Ravens
2026,2,13,Colts
2026,2,13,Raiders
2026,2,13,Jets
2026,2,14,Cardinals
2026,2,14,Cowboys
