season,gameyear,gametypeid,week,day,date,time,network,awayteam,hometeam
2019,2019,2,5,Mon,Oct 7,8:15 PM,ESPN,Browns,49ers
2019,2019,2,6,Thu,Oct 10,8:20 PM,FOX,Giants,Patriots
2019,2019,2,6,Sun,Oct 13,9:30 AM,NFL,Panthers,Buccaneers
2019,2019,2,6,Sun,Oct 13,1:00 PM,FOX,Redskins,Dolphins
2019,2019,2,6,Sun,Oct 13,1:00 PM,FOX,Eagles,Vikings
2019,2019,2,6,Sun,Oct 13,1:00 PM,CBS,Texans,Chiefs
2019,2019,2,6,Sun,Oct 13,1:00 PM,CBS,Saints,Jaguars
2019,2019,2,6,Sun,Oct 13,1:00 PM,FOX,Seahawks,Browns
2019,2019,2,6,Sun,Oct 13,1:00 PM,CBS,Bengals,Ravens
2019,2019,2,6,Sun,Oct 13,4:05 PM,FOX,49ers,Rams
2019,2019,2,6,Sun,Oct 13,4:05 PM,FOX,Falcons,Cardinals
2019,2019,2,6,Sun,Oct 13,4:25 PM,CBS,Cowboys,Jets
2019,2019,2,6,Sun,Oct 13,4:25 PM,CBS,Titans,Broncos
2019,2019,2,6,Sun,Oct 13,8:20 PM,NBC,Steelers,Chargers
2019,2019,2,6,Mon,Oct 14,8:15 PM,ESPN,Lions,Packers
2019,2019,2,7,Thu,Oct 17,8:20 PM,FOX,Chiefs,Broncos
2019,2019,2,7,Sun,Oct 20,1:00 PM,CBS,Dolphins,Bills
2019,2019,2,7,Sun,Oct 20,1:00 PM,CBS,Jaguars,Bengals
2019,2019,2,7,Sun,Oct 20,1:00 PM,FOX,Vikings,Lions
2019,2019,2,7,Sun,Oct 20,1:00 PM,CBS,Raiders,Packers
2019,2019,2,7,Sun,Oct 20,1:00 PM,FOX,Rams,Falcons
2019,2019,2,7,Sun,Oct 20,1:00 PM,CBS,Texans,Colts
2019,2019,2,7,Sun,Oct 20,1:00 PM,FOX,49ers,Redskins
2019,2019,2,7,Sun,Oct 20,1:00 PM,FOX,Cardinals,Giants
2019,2019,2,7,Sun,Oct 20,4:05 PM,CBS,Chargers,Titans
2019,2019,2,7,Sun,Oct 20,4:25 PM,FOX,Saints,Bears
2019,2019,2,7,Sun,Oct 20,4:25 PM,FOX,Ravens,Seahawks
2019,2019,2,7,Sun,Oct 20,8:20 PM,NBC,Eagles,Cowboys
2019,2019,2,7,Mon,Oct 21,8:15 PM,ESPN,Patriots,Jets
2019,2019,2,8,Thu,Oct 24,8:20 PM,FOX,Redskins,Vikings
2019,2019,2,8,Sun,Oct 27,1:00 PM,FOX,Seahawks,Falcons
2019,2019,2,8,Sun,Oct 27,1:00 PM,FOX,Buccaneers,Titans
2019,2019,2,8,Sun,Oct 27,1:00 PM,CBS,Cardinals,Saints
2019,2019,2,8,Sun,Oct 27,1:00 PM,CBS,Bengals,Rams
2019,2019,2,8,Sun,Oct 27,1:00 PM,CBS,Jets,Jaguars
2019,2019,2,8,Sun,Oct 27,1:00 PM,FOX,Eagles,Bills
2019,2019,2,8,Sun,Oct 27,1:00 PM,FOX,Chargers,Bears
2019,2019,2,8,Sun,Oct 27,1:00 PM,FOX,Giants,Lions
2019,2019,2,8,Sun,Oct 27,1:00 PM,CBS,Raiders,Texans
2019,2019,2,8,Sun,Oct 27,4:05 PM,FOX,Panthers,49ers
2019,2019,2,8,Sun,Oct 27,4:25 PM,CBS,Browns,Patriots
2019,2019,2,8,Sun,Oct 27,8:20 PM,NBC,Packers,Chiefs
2019,2019,2,8,Mon,Oct 28,8:15 PM,ESPN,Dolphins,Steelers
2019,2019,2,9,Thu,Oct 31,8:20 PM,FOX,49ers,Cardinals
2019,2019,2,9,Sun,Nov 3,9:30 AM,NFL,Texans,Jaguars
2019,2019,2,9,Sun,Nov 3,1:00 PM,FOX,Bears,Eagles
2019,2019,2,9,Sun,Nov 3,1:00 PM,CBS,Colts,Steelers
2019,2019,2,9,Sun,Nov 3,1:00 PM,CBS,Jets,Dolphins
2019,2019,2,9,Sun,Nov 3,1:00 PM,FOX,Vikings,Chiefs
2019,2019,2,9,Sun,Nov 3,1:00 PM,CBS,Titans,Panthers
2019,2019,2,9,Sun,Nov 3,1:00 PM,FOX,Redskins,Bills
2019,2019,2,9,Sun,Nov 3,4:05 PM,FOX,Buccaneers,Seahawks
2019,2019,2,9,Sun,Nov 3,4:05 PM,FOX,Lions,Raiders
2019,2019,2,9,Sun,Nov 3,4:25 PM,CBS,Packers,Chargers
2019,2019,2,9,Sun,Nov 3,4:25 PM,CBS,Browns,Broncos
2019,2019,2,9,Sun,Nov 3,8:20 PM,NBC,Patriots,Ravens
2019,2019,2,9,Mon,Nov 4,8:15 PM,ESPN,Cowboys,Giants
2019,2019,2,10,Thu,Nov 7,8:20 PM,FOX,Chargers,Raiders
2019,2019,2,10,Sun,Nov 10,1:00 PM,CBS,Ravens,Bengals
2019,2019,2,10,Sun,Nov 10,1:00 PM,CBS,Bills,Browns
2019,2019,2,10,Sun,Nov 10,1:00 PM,FOX,Panthers,Packers
2019,2019,2,10,Sun,Nov 10,1:00 PM,FOX,Falcons,Saints
2019,2019,2,10,Sun,Nov 10,1:00 PM,CBS,Lions,Bears
2019,2019,2,10,Sun,Nov 10,1:00 PM,FOX,Giants,Jets
2019,2019,2,10,Sun,Nov 10,1:00 PM,CBS,Chiefs,Titans
2019,2019,2,10,Sun,Nov 10,1:00 PM,FOX,Cardinals,Buccaneers
2019,2019,2,10,Sun,Nov 10,4:05 PM,CBS,Dolphins,Colts
2019,2019,2,10,Sun,Nov 10,4:25 PM,FOX,Rams,Steelers
2019,2019,2,10,Sun,Nov 10,8:20 PM,NBC,Vikings,Cowboys
2019,2019,2,10,Mon,Nov 11,8:15 PM,ESPN,Seahawks,49ers
2019,2019,2,11,Thu,Nov 14,8:20 PM,FOX,Steelers,Browns
2019,2019,2,11,Sun,Nov 17,1:00 PM,FOX,Falcons,Panthers
2019,2019,2,11,Sun,Nov 17,1:00 PM,FOX,Cowboys,Lions
2019,2019,2,11,Sun,Nov 17,1:00 PM,CBS,Jaguars,Colts
2019,2019,2,11,Sun,Nov 17,1:00 PM,CBS,Bills,Dolphins
2019,2019,2,11,Sun,Nov 17,1:00 PM,CBS,Texans,Ravens
2019,2019,2,11,Sun,Nov 17,1:00 PM,CBS,Broncos,Vikings
2019,2019,2,11,Sun,Nov 17,1:00 PM,CBS,Jets,Redskins
2019,2019,2,11,Sun,Nov 17,1:00 PM,FOX,Saints,Buccaneers
2019,2019,2,11,Sun,Nov 17,4:05 PM,CBS,Cardinals,49ers
2019,2019,2,11,Sun,Nov 17,4:25 PM,CBS,Bengals,Raiders
2019,2019,2,11,Sun,Nov 17,4:25 PM,CBS,Patriots,Eagles
2019,2019,2,11,Sun,Nov 17,8:20 PM,NBC,Bears,Rams
2019,2019,2,11,Mon,Nov 18,8:15 PM,ESPN,Chiefs,Chargers
2019,2019,2,12,Thu,Nov 21,8:20 PM,FOX,Colts,Texans
2019,2019,2,12,Sun,Nov 24,1:00 PM,CBS,Broncos,Bills
2019,2019,2,12,Sun,Nov 24,1:00 PM,FOX,Giants,Bears
2019,2019,2,12,Sun,Nov 24,1:00 PM,CBS,Steelers,Bengals
2019,2019,2,12,Sun,Nov 24,1:00 PM,CBS,Dolphins,Browns
2019,2019,2,12,Sun,Nov 24,1:00 PM,FOX,Buccaneers,Falcons
2019,2019,2,12,Sun,Nov 24,1:00 PM,FOX,Panthers,Saints
2019,2019,2,12,Sun,Nov 24,1:00 PM,FOX,Lions,Redskins
2019,2019,2,12,Sun,Nov 24,1:00 PM,CBS,Raiders,Jets
2019,2019,2,12,Sun,Nov 24,4:05 PM,CBS,Jaguars,Titans
2019,2019,2,12,Sun,Nov 24,4:25 PM,FOX,Cowboys,Patriots
2019,2019,2,12,Sun,Nov 24,4:25 PM,FOX,Packers,49ers
2019,2019,2,12,Sun,Nov 24,8:20 PM,NBC,Seahawks,Eagles
2019,2019,2,12,Mon,Nov 25,8:15 PM,ESPN,Ravens,Rams
2019,2019,2,13,Thu,Nov 28,12:30 PM,FOX,Bears,Lions
2019,2019,2,13,Thu,Nov 28,4:30 PM,CBS,Bills,Cowboys
2019,2019,2,13,Thu,Nov 28,8:20 PM,NBC,Saints,Falcons
2019,2019,2,13,Sun,Dec 1,1:00 PM,CBS,Titans,Colts
2019,2019,2,13,Sun,Dec 1,1:00 PM,CBS,Jets,Bengals
2019,2019,2,13,Sun,Dec 1,1:00 PM,CBS,Redskins,Panthers
2019,2019,2,13,Sun,Dec 1,1:00 PM,FOX,49ers,Ravens
2019,2019,2,13,Sun,Dec 1,1:00 PM,FOX,Buccaneers,Jaguars
2019,2019,2,13,Sun,Dec 1,1:00 PM,FOX,Packers,Giants
2019,2019,2,13,Sun,Dec 1,1:00 PM,FOX,Eagles,Dolphins
2019,2019,2,13,Sun,Dec 1,1:00 PM,CBS,Raiders,Chiefs
2019,2019,2,13,Sun,Dec 1,4:05 PM,FOX,Rams,Cardinals
2019,2019,2,13,Mon,Dec 1,4:25 PM,CBS,Browns,Steelers
2019,2019,2,13,Sun,Dec 1,4:25 PM,CBS,Chargers,Broncos
2019,2019,2,13,Sun,Dec 1,8:20 PM,NBC,Patriots,Texans
2019,2019,2,13,Mon,Dec 2,8:15 PM,ESPN,Vikings,Seahawks
2019,2019,2,14,Thu,Dec 5,8:20 PM,FOX,Cowboys,Bears
2019,2019,2,14,Sun,Dec 8,1:00 PM,FOX,Panthers,Falcons
2019,2019,2,14,Sun,Dec 8,1:00 PM,CBS,Colts,Buccaneers
2019,2019,2,14,Sun,Dec 8,1:00 PM,CBS,Dolphins,Jets
2019,2019,2,14,Sun,Dec 8,1:00 PM,FOX,49ers,Saints
2019,2019,2,14,Sun,Dec 8,1:00 PM,FOX,Lions,Vikings
2019,2019,2,14,Sun,Dec 8,1:00 PM,CBS,Broncos,Texans
2019,2019,2,14,Sun,Dec 8,1:00 PM,CBS,Ravens,Bills
2019,2019,2,14,Sun,Dec 8,1:00 PM,CBS,Bengals,Browns
2019,2019,2,14,Sun,Dec 8,1:00 PM,FOX,Redskins,Packers
2019,2019,2,14,Sun,Dec 8,4:05 PM,FOX,Chargers,Jaguars
2019,2019,2,14,Sun,Dec 8,4:25 PM,CBS,Steelers,Cardinals
2019,2019,2,14,Mon,Dec 8,4:25 PM,CBS,Titans,Raiders
2019,2019,2,14,Sun,Dec 8,4:25 PM,CBS,Chiefs,Patriots
2019,2019,2,14,Sun,Dec 8,8:20 PM,NBC,Seahawks,Rams
2019,2019,2,14,Mon,Dec 9,8:15 PM,ESPN,Giants,Eagles
2019,2019,2,15,Thu,Dec 12,8:20 PM,FOX,Jets,Ravens
2019,2019,2,15,Sun,Dec 15,1:00 PM,FOX,Seahawks,Panthers
2019,2019,2,15,Sun,Dec 15,1:00 PM,FOX,Eagles,Redskins
2019,2019,2,15,Sun,Dec 15,1:00 PM,CBS,Texans,Titans
2019,2019,2,15,Sun,Dec 15,1:00 PM,CBS,Bills,Steelers
2019,2019,2,15,Sun,Dec 15,1:00 PM,CBS,Dolphins,Giants
2019,2019,2,15,Sun,Dec 15,1:00 PM,CBS,Broncos,Chiefs
2019,2019,2,15,Sun,Dec 15,1:00 PM,CBS,Patriots,Bengals
2019,2019,2,15,Sun,Dec 15,1:00 PM,FOX,Buccaneers,Lions
2019,2019,2,15,Sun,Dec 15,1:00 PM,FOX,Bears,Packers
2019,2019,2,15,Sun,Dec 15,4:05 PM,CBS,Jaguars,Raiders
2019,2019,2,15,Sun,Dec 15,4:05 PM,CBS,Browns,Cardinals
2019,2019,2,15,Mon,Dec 15,4:25 PM,FOX,Falcons,49ers
2019,2019,2,15,Sun,Dec 15,4:25 PM,FOX,Rams,Cowboys
2019,2019,2,15,Sun,Dec 15,8:20 PM,NBC,Vikings,Chargers
2019,2019,2,15,Mon,Dec 16,8:15 PM,ESPN,Colts,Saints
2019,2019,2,16,Sat,Dec 21,8:20 PM,Default,Lions,Broncos
2019,2019,2,16,Sun,Dec 22,1:00 PM,Default,Raiders,Chargers
2019,2019,2,16,Sun,Dec 22,1:00 PM,FOX,Giants,Redskins
2019,2019,2,16,Sun,Dec 22,1:00 PM,FOX,Saints,Titans
2019,2019,2,16,Sun,Dec 22,1:00 PM,CBS,Steelers,Jets
2019,2019,2,16,Sun,Dec 22,1:00 PM,Default,Bills,Patriots
2019,2019,2,16,Sun,Dec 22,1:00 PM,Default,Rams,49ers
2019,2019,2,16,Sun,Dec 22,1:00 PM,FOX,Texans,Buccaneers
2019,2019,2,16,Sun,Dec 22,1:00 PM,FOX,Jaguars,Falcons
2019,2019,2,16,Sun,Dec 22,1:00 PM,CBS,Ravens,Browns
2019,2019,2,16,Sun,Dec 22,1:00 PM,FOX,Panthers,Colts
2019,2019,2,16,Sun,Dec 22,1:00 PM,CBS,Bengals,Dolphins
2019,2019,2,16,Sun,Dec 22,4:25 PM,FOX,Cardinals,Seahawks
2019,2019,2,16,Sun,Dec 22,4:25 PM,FOX,Cowboys,Eagles
