season,gametypeid,week,date,time,network,awayteam,hometeam
2019,2,7,10/20/19,1:00 PM,CBS,Dolphins,Bills
2019,2,7,10/20/19,1:00 PM,CBS,Jaguars,Bengals
2019,2,7,10/20/19,1:00 PM,FOX,Vikings,Lions
2019,2,7,10/20/19,1:00 PM,CBS,Raiders,Packers
2019,2,7,10/20/19,1:00 PM,FOX,Rams,Falcons
2019,2,7,10/20/19,1:00 PM,CBS,Texans,Colts
2019,2,7,10/20/19,1:00 PM,FOX,49ers,Redskins
2019,2,7,10/20/19,1:00 PM,FOX,Cardinals,Giants
2019,2,7,10/20/19,4:05 PM,CBS,Chargers,Titans
2019,2,7,10/20/19,4:25 PM,FOX,Saints,Bears
2019,2,7,10/20/19,4:25 PM,FOX,Ravens,Seahawks
2019,2,7,10/20/19,8:20 PM,NBC,Eagles,Cowboys
2019,2,7,10/21/19,8:15 PM,ESPN,Patriots,Jets
2019,2,8,10/24/19,8:20 PM,FOX,Redskins,Vikings
2019,2,8,10/27/19,1:00 PM,FOX,Seahawks,Falcons
2019,2,8,10/27/19,1:00 PM,FOX,Buccaneers,Titans
2019,2,8,10/27/19,1:00 PM,CBS,Cardinals,Saints
2019,2,8,10/27/19,1:00 PM,CBS,Bengals,Rams
2019,2,8,10/27/19,1:00 PM,CBS,Jets,Jaguars
2019,2,8,10/27/19,1:00 PM,FOX,Eagles,Bills
2019,2,8,10/27/19,1:00 PM,FOX,Chargers,Bears
2019,2,8,10/27/19,1:00 PM,FOX,Giants,Lions
2019,2,8,10/27/19,1:00 PM,CBS,Raiders,Texans
2019,2,8,10/27/19,4:05 PM,FOX,Panthers,49ers
2019,2,8,10/27/19,4:25 PM,CBS,Browns,Patriots
2019,2,8,10/27/19,4:25 PM,CBS,Broncos,Colts
2019,2,8,10/27/19,8:20 PM,NBC,Packers,Chiefs
2019,2,8,10/28/19,8:15 PM,ESPN,Dolphins,Steelers
2019,2,9,10/31/19,8:20 PM,FOX,49ers,Cardinals
2019,2,9,11/3/19,9:30 AM,NFL,Texans,Jaguars
2019,2,9,11/3/19,1:00 PM,FOX,Bears,Eagles
2019,2,9,11/3/19,1:00 PM,CBS,Colts,Steelers
2019,2,9,11/3/19,1:00 PM,CBS,Jets,Dolphins
2019,2,9,11/3/19,1:00 PM,FOX,Vikings,Chiefs
2019,2,9,11/3/19,1:00 PM,CBS,Titans,Panthers
2019,2,9,11/3/19,1:00 PM,FOX,Redskins,Bills
2019,2,9,11/3/19,4:05 PM,FOX,Buccaneers,Seahawks
2019,2,9,11/3/19,4:05 PM,FOX,Lions,Raiders
2019,2,9,11/3/19,4:25 PM,CBS,Packers,Chargers
2019,2,9,11/3/19,4:25 PM,CBS,Browns,Broncos
2019,2,9,11/3/19,8:20 PM,NBC,Patriots,Ravens
2019,2,9,11/4/19,8:15 PM,ESPN,Cowboys,Giants
2019,2,10,11/7/19,8:20 PM,FOX,Chargers,Raiders
2019,2,10,11/10/19,1:00 PM,CBS,Ravens,Bengals
2019,2,10,11/10/19,1:00 PM,CBS,Bills,Browns
2019,2,10,11/10/19,1:00 PM,FOX,Panthers,Packers
2019,2,10,11/10/19,1:00 PM,FOX,Falcons,Saints
2019,2,10,11/10/19,1:00 PM,CBS,Lions,Bears
2019,2,10,11/10/19,1:00 PM,FOX,Giants,Jets
2019,2,10,11/10/19,1:00 PM,CBS,Chiefs,Titans
2019,2,10,11/10/19,1:00 PM,FOX,Cardinals,Buccaneers
2019,2,10,11/10/19,4:05 PM,CBS,Dolphins,Colts
2019,2,10,11/10/19,4:25 PM,FOX,Rams,Steelers
2019,2,10,11/10/19,8:20 PM,NBC,Vikings,Cowboys
2019,2,10,11/11/19,8:15 PM,ESPN,Seahawks,49ers
