season,gametypeid,week,date,awayteam,hometeam,network,time
2022,2,6,10/16/2022,Bills,Chiefs,CBS,4:25 PM
2022,2,6,10/16/2022,Cowboys,Eagles,NBC,8:20 PM
2022,2,6,10/17/2022,Broncos,Chargers,ESPN,8:15 PM
2022,2,7,10/20/2022,Saints,Cardinals,Amazon,8:15 PM
2022,2,7,10/23/2022,Buccaneers,Panthers,CBS,1:00 PM
2022,2,7,10/23/2022,Falcons,Bengals,FOX,1:00 PM
2022,2,7,10/23/2022,Lions,Cowboys,FOX,1:00 PM
2022,2,7,10/23/2022,Giants,Jaguars,CBS,1:00 PM
2022,2,7,10/23/2022,Colts,Titans,FOX,1:00 PM
2022,2,7,10/23/2022,Browns,Ravens,CBS,1:00 PM
2022,2,7,10/23/2022,Packers,Commanders,FOX,1:00 PM
2022,2,7,10/23/2022,Jets,Broncos,CBS,4:05 PM
2022,2,7,10/23/2022,Texans,Raiders,CBS,4:05 PM
2022,2,7,10/23/2022,Seahawks,Chargers,FOX,4:25 PM
2022,2,7,10/23/2022,Chiefs,49ers,FOX,4:25 PM
2022,2,7,10/23/2022,Steelers,Dolphins,FOX,8:20 PM
2022,2,7,10/24/2022,Bears,Patriots,ESPN,8:15 PM
2022,2,8,10/27/2022,Ravens,Buccaneers,Amazon,8:15 PM
2022,2,8,10/30/2022,Broncos,Jaguars,ESPN,9:30 AM
2022,2,8,10/30/2022,Panthers,Falcons,FOX,1:00 PM
2022,2,8,10/30/2022,Bears,Cowboys,FOX,1:00 PM
2022,2,8,10/30/2022,Dolphins,Lions,CBS,1:00 PM
2022,2,8,10/30/2022,Cardinals,Vikings,FOX,1:00 PM
2022,2,8,10/30/2022,Raiders,Saints,CBS,1:00 PM
2022,2,8,10/30/2022,Patriots,Jets,CBS,1:00 PM
2022,2,8,10/30/2022,Steelers,Eagles,CBS,1:00 PM
2022,2,8,10/30/2022,Titans,Texans,CBS,4:05 PM
