nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,16,Cardinals,22,11,10,15,8,18,5,11,3
2,2016,16,Falcons,5,1,3,7,2,25,26,16,23
3,2016,16,Ravens,10,19,11,26,18,7,10,2,5
4,2016,16,Bills,25,7,31,1,12,15,7,28,19
5,2016,16,Panthers,21,14,21,12,19,27,32,4,22
6,2016,16,Bears,27,28,13,19,13,21,6,27,13
7,2016,16,Bengals,19,24,16,17,14,11,11,22,17
8,2016,16,Browns,32,31,28,24,31,31,21,31,31
9,2016,16,Cowboys,1,4,19,2,4,4,27,1,12
10,2016,16,Broncos,13,22,20,28,27,6,1,29,6
11,2016,16,Lions,11,21,14,30,23,13,16,17,15
12,2016,16,Packers,9,6,8,20,10,22,29,9,20
13,2016,16,Texans,17,29,29,6,28,10,2,13,1
14,2016,16,Colts,18,8,7,21,11,24,24,23,27
15,2016,16,Jaguars,30,23,23,25,26,26,3,20,4
16,2016,16,Chiefs,6,15,22,16,20,5,17,26,24
17,2016,16,Dolphins,14,16,26,9,22,14,13,30,30
18,2016,16,Vikings,20,26,18,32,30,8,4,15,2
19,2016,16,Patriots,2,5,4,8,5,1,14,3,8
20,2016,16,Saints,23,2,1,18,1,30,30,12,25
21,2016,16,Giants,8,25,17,29,24,3,22,7,11
22,2016,16,Jets,29,30,27,13,25,29,20,14,16
23,2016,16,Raiders,4,3,9,5,6,19,25,21,28
24,2016,16,Eagles,24,17,25,10,21,12,18,19,18
25,2016,16,Steelers,7,12,5,11,7,9,15,6,9
26,2016,16,Chargers,26,10,6,27,16,28,19,10,14
27,2016,16,49ers,31,27,32,4,29,32,12,32,32
28,2016,16,Seahawks,3,20,12,22,15,2,8,8,7
29,2016,16,Rams,28,32,30,31,32,16,9,18,10
30,2016,16,Buccaneers,12,18,15,23,17,17,23,24,26
31,2016,16,Titans,16,13,24,3,9,20,31,5,21
32,2016,16,Redskins,15,9,2,14,3,23,28,25,29
