Player,Team,Pos,Injury,Status
C.J. Ham,21,FB,Hand,Questionable
Kyonte Hamilton,10,DT,Ankle,IR
Damar Hamlin,3,S,Pectoral,IR
Omarion Hampton,14,RB,Ankle,IR
Blake Hance,9,OG,Shoulder,Questionable
Da'Shawn Hand,14,DT,Groin,IR
Deion Hankins,23,RB,Quadriceps,IR
Johnathan Hankins,29,DT,Back,NFI-R
Josh Harris,14,C,Undisclosed,IR-R
Najee Harris,14,RB,Achilles,IR
Will Harris,18,S,Lower Leg,IR
Malik Harrison,6,LB,Knee,IR-R
Gus Hartwig,2,C,Undisclosed,IR
Hassan Haskins,14,RB,Hamstring,Doubtful
Rob Havenstein,32,OT,Ankle,Questionable
Jaylinn Hawkins,4,S,Hamstring,Questionable
Christian Haynes,29,OG,Pectoral,IR-R
Trey Hendrickson,5,DE,Hip,Questionable
Matt Henningsen,13,DT,Achilles,IR
Justin Herron,22,OT,Arm,IR
Jordan Hicks,7,LB,Undisclosed,Reserve-Ret
Tyreek Hill,1,WR,Knee - ACL,IR
Kurt Hinish,10,DT,Undisclosed,PUP-R
Myles Hinton,17,OT,Undisclosed,IR-R
Cooper Hodges,11,OG,Knee,PUP-R
Jevon Holland,20,S,Knee,Questionable
Malik Hooker,19,S,Toe,IR
Will Howard,6,QB,Hand,IR
Xavien Howard,12,CB,Personal,Reserve-Ret
Sam Hubbard,5,DE,Undisclosed,Reserve-Ret
Tanner Hudson,5,TE,Concussion,Questionable
Bryce Huff,30,DE,Hamstring,Doubtful
Charley Hughlett,17,C,Abdomen,IR
Robert Hunt,25,OG,Biceps,IR
Adin Huntington,7,DE,Concussion,Questionable
Alijah Huzzie,10,CB,Knee,NFI-R
Germain Ifedi,1,OT,Undisclosed,IR
Keaontay Ingram,16,RB,Undisclosed,IR
Bucky Irving,28,RB,Foot,Questionable
Adisa Isaac,8,LB,Elbow,IR-R
Isaiah Iton,4,DE,Hip,IR
Adoree' Jackson,17,CB,Concussion,Questionable
Austin Jackson,1,OT,Toe,IR
Brennan Jackson,15,LB,Foot,IR
Dan Jackson,22,S,Leg,IR
Drake Jackson,18,DE,Knee,IR
Lamar Jackson,8,QB,Hamstring,Questionable
Tarron Jackson,30,DE,Undisclosed,IR
Tyree Jackson,18,TE,Undisclosed,IR
Grady Jarrett,23,DT,Knee,Questionable
Javontae Jean-Baptiste,18,DE,Pectoral,IR
Anthony Johnson,20,S,Undisclosed,PUP-R
Cedric Johnson,5,DE,Calf,IR-R
Jakob Johnson,10,FB,Hamstring,IR
