season,gametypeid,week,team
2022,2,6,Lions
2022,2,6,Raiders
2022,2,6,Titans
2022,2,6,Texans
2022,2,7,Bills
2022,2,7,Vikings
2022,2,7,Eagles
2022,2,7,Rams
2022,2,8,Chiefs
2022,2,8,Chargers
2022,2,9,Browns
2022,2,9,Cowboys
2022,2,9,Broncos
2022,2,9,Giants
2022,2,9,Steelers
2022,2,9,49ers
2022,2,10,Ravens
2022,2,10,Bengals
2022,2,10,Patriots
2022,2,10,Jets
2022,2,11,Jaguars
2022,2,11,Dolphins
2022,2,11,Seahawks
2022,2,11,Buccaneers
2022,2,13,Cardinals
2022,2,13,Panthers
2022,2,14,Falcons
2022,2,14,Bears
2022,2,14,Packers
2022,2,14,Colts
2022,2,14,Saints
2022,2,14,Commanders
