season,gametypeid,week,date,awayteam,hometeam,network,time
2023,2,1,09/7/2023,Lions,Chiefs,NBC,8:20 PM
2023,2,1,09/10/2023,Panthers,Falcons,FOX,1:00 PM
2023,2,1,09/10/2023,Bengals,Browns,CBS,1:00 PM
2023,2,1,09/10/2023,Jaguars,Colts,FOX,1:00 PM
2023,2,1,09/10/2023,Buccaneers,Vikings,CBS,1:00 PM
2023,2,1,09/10/2023,Titans,Saints,CBS,1:00 PM
2023,2,1,09/10/2023,49ers,Steelers,FOX,1:00 PM
2023,2,1,09/10/2023,Texans,Ravens,CBS,1:00 PM
2023,2,1,09/10/2023,Cardinals,Commanders,FOX,1:00 PM
2023,2,1,09/10/2023,Packers,Bears,FOX,4:25 PM
2023,2,1,09/10/2023,Raiders,Broncos,CBS,4:25 PM
2023,2,1,09/10/2023,Eagles,Patriots,CBS,4:25 PM
2023,2,1,09/10/2023,Dolphins,Chargers,CBS,4:25 PM
2023,2,1,09/10/2023,Rams,Seahawks,FOX,4:25 PM
2023,2,1,09/10/2023,Cowboys,Giants,NBC,8:20 PM
2023,2,1,09/11/2023,Bills,Jets,ESPN,8:15 PM
2023,2,2,09/14/2023,Vikings,Eagles,Amazon,8:15 PM
2023,2,2,09/17/2023,Packers,Falcons,FOX,1:00 PM
2023,2,2,09/17/2023,Raiders,Bills,CBS,1:00 PM
2023,2,2,09/17/2023,Ravens,Bengals,CBS,1:00 PM
2023,2,2,09/17/2023,Seahawks,Lions,FOX,1:00 PM
2023,2,2,09/17/2023,Colts,Texans,FOX,1:00 PM
2023,2,2,09/17/2023,Chiefs,Jaguars,CBS,1:00 PM
2023,2,2,09/17/2023,Chargers,Titans,CBS,1:00 PM
2023,2,2,09/17/2023,Bears,Buccaneers,FOX,1:00 PM
2023,2,2,09/17/2023,Giants,Cardinals,FOX,4:05 PM
2023,2,2,09/17/2023,49ers,Rams,FOX,4:05 PM
2023,2,2,09/17/2023,Jets,Cowboys,CBS,4:25 PM
2023,2,2,09/17/2023,Commanders,Broncos,CBS,4:25 PM
2023,2,2,09/17/2023,Dolphins,Patriots,NBC,8:20 PM
2023,2,2,09/18/2023,Saints,Panthers,ESPN,7:15 PM
2023,2,2,09/18/2023,Browns,Steelers,ABC,8:15 PM
2023,2,3,09/21/2023,Giants,49ers,Amazon,8:15 PM
2023,2,3,09/24/2023,Titans,Browns,CBS,1:00 PM
2023,2,3,09/24/2023,Falcons,Lions,FOX,1:00 PM
2023,2,3,09/24/2023,Saints,Packers,FOX,1:00 PM
2023,2,3,09/24/2023,Texans,Jaguars,FOX,1:00 PM
2023,2,3,09/24/2023,Broncos,Dolphins,CBS,1:00 PM
2023,2,3,09/24/2023,Chargers,Vikings,FOX,1:00 PM
2023,2,3,09/24/2023,Patriots,Jets,CBS,1:00 PM
2023,2,3,09/24/2023,Colts,Ravens,CBS,1:00 PM
