season,gametypeid,week,team
2025,2,5,Falcons
2025,2,5,Bears
2025,2,5,Packers
2025,2,5,Steelers
2025,2,6,Texans
2025,2,6,Vikings
2025,2,7,Ravens
2025,2,7,Bills
2025,2,8,Cardinals
2025,2,8,Lions
2025,2,8,Jaguars
2025,2,8,Raiders
2025,2,8,Rams
2025,2,8,Seahawks
2025,2,9,Browns
2025,2,9,Jets
2025,2,9,Eagles
2025,2,9,Buccaneers
2025,2,10,Bengals
2025,2,10,Cowboys
2025,2,10,Chiefs
2025,2,10,Titans
2025,2,11,Colts
2025,2,11,Saints
2025,2,12,Broncos
2025,2,12,Chargers
2025,2,12,Dolphins
2025,2,12,Commanders
2025,2,14,Panthers
2025,2,14,Patriots
2025,2,14,Giants
2025,2,14,49ers
