NBR,Season,Week,Team,PowerRank,OffenceScoringRank,OffencePassingRank,OffenceRushingRank,OffenceTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank,
1,2017,9,Cardinals,26,26,5,31,15,27,24,11,23
2,2017,9,Falcons,15,17,6,13,6,14,10,18,12
3,2017,9,Ravens,14,19,31,8,30,7,3,29,7
4,2017,9,Bills,18,16,30,11,26,6,26,8,22
5,2017,9,Panthers,13,24,24,15,21,4,6,2,1
6,2017,9,Bears,27,27,32,6,29,13,11,13,8
7,2017,9,Bengals,20,28,28,32,32,11,5,20,6
8,2017,9,Browns,32,31,22,23,27,28,17,4,9
9,2017,9,Cowboys,6,4,17,2,8,15,15,12,14
10,2017,9,Broncos,19,23,19,14,18,25,4,5,2
11,2017,9,Lions,16,8,7,29,16,20,27,6,21
12,2017,9,Packers,7,11,21,21,23,22,20,23,25
13,2017,9,Texans,10,3,16,4,12,30,21,9,20
14,2017,9,Colts,30,25,23,20,25,32,31,17,31
15,2017,9,Jaguars,8,9,26,1,9,1,1,27,3
16,2017,9,Chiefs,2,5,8,12,7,19,28,30,29
26,2017,9,Chargers,21,22,12,25,17,8,8,31,19
29,2017,9,Rams,12,1,10,5,3,9,9,26,16
17,2017,9,Dolphins,28,32,29,30,31,17,14,7,10
18,2017,9,Vikings,9,13,14,9,11,3,7,3,4
19,2017,9,Patriots,1,7,1,16,1,16,32,25,32
20,2017,9,Saints,11,6,4,7,2,10,12,19,15
21,2017,9,Giants,23,29,20,27,28,29,29,28,30
22,2017,9,Jets,29,18,25,18,22,18,19,24,24
23,2017,9,Raiders,17,15,15,26,19,21,22,21,26
24,2017,9,Eagles,5,2,13,3,5,12,25,1,11
25,2017,9,Steelers,3,20,9,17,10,2,2,14,5
27,2017,9,49ers,31,30,18,24,24,31,23,32,27
28,2017,9,Seahawks,4,10,2,19,4,5,13,15,13
30,2017,9,Buccaneers,24,21,3,28,13,26,30,22,28
31,2017,9,Titans,22,12,27,10,20,23,18,10,17
32,2017,9,Redskins,25,14,11,22,14,24,16,16,18
