Player,Team,Pos,Injury,Status
Budda Baker,31,S,Hamstring,IR
L.J. Collier,31,DE,Biceps,IR
James Conner,31,RB,Knee,IR
Pat Elflein,31,C,Undisclosed,IR
Rashad Fenton,31,CB,Undisclosed,IR
Jon Gaines,31,C,Knee,IR
Antonio Hamilton,31,CB,Groin,Questionable
Matt Hembrough,31,C,Back,IR
Elijah Higgins,31,TE,Illness,Questionable
Jesse Luketa,31,LB,Shoulder,Questionable
Marlon Mack,31,RB,Achilles,IR
Kyler McMichael,31,CB,Undisclosed,IR
Kyler Murray,31,QB,Knee - ACL,PUP-R
Myjai Sanders,31,LB,Thumb,IR-R
Jalen Thompson,31,S,Hamstring,Questionable
Carlos Watkins,31,DT,Biceps,IR
Garrett Williams,31,CB,Knee - ACL,NFI-R
Josh Ali,26,WR,Ankle,IR
Troy Andersen,26,LB,Shoulder,IR
Jared Bernhardt,26,WR,Groin,Reserve-Ret
Ikenna Enechukwu,26,LB,Undisclosed,IR
Feleipe Franks,26,TE,Undisclosed,IR
Eddie Goldman,26,DT,Undisclosed,Reserve-Ex
Ethan Greenidge,26,OT,Undisclosed,IR
Matt Hennessy,26,OG,Knee,IR
Adetokunbo Ogundeji,26,LB,Foot,IR
Avery Williams,26,RB,Knee - ACL,IR
Tyus Bowser,8,LB,Knee,NFI-R
J.K. Dobbins,8,RB,Achilles,IR
Malik Hamm,8,LB,Ankle,IR
Nick Moore,8,C,Achilles,NFI-R
Trayvon Mullen,8,CB,Toe,NFI-R
David Ojabo,8,LB,Ankle,IR
Odafe Oweh,8,LB,Ankle,Questionable
Kevon Seymour,8,CB,Ankle,Questionable
Brent Urban,8,DE,Neck,Questionable
Andrew Vorhees,8,OG,Knee - ACL,NFI-R
Tylan Wallace,8,WR,Hamstring,IR
Ar'Darius Washington,8,CB,Chest,IR
Damarion Williams,8,CB,Ankle,IR
Marcus Williams,8,S,Hamstring,Questionable
Daryl Worley,8,S,Shoulder,IR
Josh Allen,3,QB,Shoulder,Questionable
Zach Davidson,3,TE,Undisclosed,IR
Tommy Doyle,3,OT,Knee,IR
Damien Harris,3,RB,Neck,Questionable
Nyheim Hines,3,RB,Knee,NFI-R
Dane Jackson,3,CB,Foot,Questionable
DaQuan Jones,3,DT,Pectoral,IR
Dalton Kincaid,3,TE,Concussion,Questionable
Matt Milano,3,LB,Leg,IR
Brandon Shell,3,OT,Undisclosed,Reserve-Ret
Justin Shorter,3,WR,Hamstring,IR
Tre'Davious White,3,CB,Achilles,IR
Henry Anderson,25,DE,Foot,IR
Vonn Bell,25,S,Quadriceps,Questionable
Brady Christensen,25,OG,Biceps,IR
Austin Corbett,25,OG,Knee - ACL,PUP-R
Yetur Gross-Matos,25,LB,Hamstring,Questionable
Marquis Haynes,25,LB,Back,IR
Jaycee Horn,25,CB,Hamstring,IR
Frankie Luvu,25,LB,Hip,Questionable
Giovanni Ricci,25,TE,Shoulder,Questionable
Miles Sanders,25,RB,Shoulder,Questionable
Laviska Shenault,25,WR,Ankle,Questionable
Ian Thomas,25,TE,Calf,IR
Shaq Thompson,25,LB,Lower Leg,IR
Calvin Throckmorton,25,OG,Calf,Questionable
Xavier Woods,25,S,Hamstring,Questionable
Chandler Zavala,25,OG,Neck,Questionable
Josh Blackwell,23,CB,Hamstring,IR
Nate Davis,23,OG,Ankle,Questionable
Justin Fields,23,QB,Thumb,Questionable
Khalil Herbert,23,RB,Ankle,IR
Travis Homer,23,RB,Hamstring,Questionable
Eddie Jackson,23,S,Foot,Questionable
Roschon Johnson,23,RB,Concussion,Questionable
Braxton Jones,23,OT,Neck,IR
Khalid Kareem,23,DE,Hip,IR
Doug Kramer,23,C,Thumb,IR-R
Joe Reed,23,WR,Undisclosed,IR
Terell Smith,23,CB,Illness,Questionable
Equanimeous St. Brown,23,WR,Hamstring,IR
Orlando Brown,5,OT,Groin,Questionable
Devin Cochran,5,OT,Knee,IR
Akeem Davis-Gaither,5,LB,Knee,Questionable
Devin Harper,5,LB,Hamstring,Questionable
Charlie Jones,5,WR,Thumb,IR
Devonnsha Maxwell,5,DT,Knee,IR
Joel Bitonio,7,OG,Knee,Questionable
Nick Chubb,7,RB,Knee - ACL + MCL,IR
Jack Conklin,7,OT,Knee - ACL + MCL,IR
