NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,5,Cardinals,19,22,28,22,28,6,28,8,23
2,2025,5,Falcons,15,25,9,7,7,14,2,15,2
3,2025,5,Ravens,23,3,18,9,13,32,31,27,31
4,2025,5,Bills,11,2,6,1,2,17,1,31,11
5,2025,5,Panthers,25,26,21,26,24,19,12,23,19
6,2025,5,Bears,20,12,11,24,19,25,19,32,27
7,2025,5,Bengals,16,30,30,32,32,27,30,26,30
8,2025,5,Browns,27,31,20,30,27,24,4,1,1
9,2025,5,Cowboys,22,5,1,12,1,31,32,20,32
10,2025,5,Broncos,13,16,16,5,9,2,9,11,10
11,2025,5,Lions,4,1,10,6,6,15,13,7,12
12,2025,5,Packers,14,9,8,14,11,13,16,2,8
13,2025,5,Texans,21,29,23,23,25,1,7,12,5
14,2025,5,Colts,8,4,4,8,3,12,21,8,17
15,2025,5,Jaguars,5,16,18,4,10,5,24,4,15
16,2025,5,Chiefs,7,14,12,19,16,8,8,22,14
26,2025,5,Chargers,9,20,5,21,8,4,5,16,3
29,2025,5,Rams,2,13,3,13,4,10,9,10,9
23,2025,5,Raiders,28,24,14,15,18,22,23,13,21
17,2025,5,Dolphins,29,21,22,27,26,26,20,30,26
18,2025,5,Vikings,17,10,24,20,23,9,3,24,7
19,2025,5,Patriots,26,10,7,25,14,10,26,2,16
20,2025,5,Saints,30,28,27,10,22,30,15,18,18
21,2025,5,Giants,24,27,17,17,20,23,25,29,29
22,2025,5,Jets,31,19,29,3,21,28,14,25,20
24,2025,5,Eagles,1,7,31,16,30,15,17,21,22
25,2025,5,Steelers,12,16,26,31,29,21,29,19,28
27,2025,5,49ers,10,23,2,28,5,7,6,17,5
28,2025,5,Seahawks,3,6,13,18,16,2,17,6,13
30,2025,5,Buccaneers,6,14,15,10,15,20,11,5,4
31,2025,5,Titans,32,32,32,29,31,28,22,28,25
32,2025,5,Commanders,18,8,25,2,12,18,27,14,24
