season,week,weekstart,weekend,gametypeid
2022,1,"Sep 8, 2022","Sep 13, 2022",2
2022,2,"Sep 15, 2022","Sep 20, 2022",2
2022,3,"Sep 22, 2022","Sep 27, 2022",2
2022,4,"Sep 29, 2022","Oct 4, 2022",2
2022,5,"Oct 6, 2022","Oct 11, 2022",2
2022,6,"Oct 13, 2022","Oct 18, 2022",2
2022,7,"Oct 20, 2022","Oct 25, 2022",2
2022,8,"Oct 27, 2022","Nov 1, 2022",2
2022,9,"Nov 3, 2022","Nov 8, 2022",2
2022,10,"Nov 10, 2022","Nov 15, 2022",2
2022,11,"Nov 17, 2022","Nov 22, 2022",2
2022,12,"Nov 24, 2022","Nov 29, 2022",2
2022,13,"Dec 1, 2022","Dec 6, 2022",2
2022,14,"Dec 8, 2022","Dec 13, 2022",2
2022,15,"Dec 15, 2022","Dec 20, 2022",2
2022,16,"Dec 22, 2022","Dec 27, 2022",2
2022,17,"Dec 29, 2022","Jan 3, 2023",2
2022,18,"Jan 5, 2023","Jan 9, 2023",2
2022,19,"Jan 14, 2023","Jan 16, 2023",3
2022,20,"Jan 21, 2023","Jan 23, 2023",3
2022,21,"Jan 29, 2023","Jan 30, 2023",3
2022,22,"Feb 12, 2023","Feb 13, 2023",3
