NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,15,Cardinals,26,21,7,26,15,26,20,19,24
2,2025,15,Falcons,25,27,18,12,16,20,9,24,14
3,2025,15,Ravens,21,13,27,3,19,22,26,15,25
4,2025,15,Bills,8,5,11,1,2,14,2,28,10
5,2025,15,Panthers,10,28,25,10,23,16,18,17,18
6,2025,15,Bears,11,8,14,2,5,25,21,27,27
7,2025,15,Bengals,22,12,10,30,21,17,31,32,32
8,2025,15,Browns,30,29,29,27,30,31,1,13,2
9,2025,15,Cowboys,19,3,1,16,1,4,32,20,29
10,2025,15,Broncos,7,14,13,14,10,18,10,2,3
11,2025,15,Lions,15,1,5,5,3,6,19,10,15
12,2025,15,Packers,9,10,12,19,13,1,7,9,5
13,2025,15,Texans,3,20,16,23,20,13,3,5,1
14,2025,15,Colts,14,5,8,6,6,11,29,6,23
15,2025,15,Jaguars,5,9,19,15,17,7,22,1,11
16,2025,15,Chiefs,18,11,4,17,7,9,13,7,9
26,2025,15,Chargers,12,17,17,9,11,3,5,14,4
29,2025,15,Rams,1,4,3,11,4,24,16,11,13
23,2025,15,Raiders,32,32,26,32,31,15,17,16,16
17,2025,15,Dolphins,13,22,28,8,25,12,12,25,19
18,2025,15,Vikings,24,26,30,24,29,5,4,22,8
19,2025,15,Patriots,4,7,2,21,8,21,14,3,7
20,2025,15,Saints,23,30,21,28,26,30,6,23,12
21,2025,15,Giants,29,23,15,13,14,27,24,31,31
22,2025,15,Jets,27,25,32,7,28,9,8,30,17
24,2025,15,Eagles,16,19,22,22,24,19,15,26,22
25,2025,15,Steelers,17,14,23,29,27,8,28,21,28
27,2025,15,49ers,6,16,6,25,12,2,25,12,20
28,2025,15,Seahawks,2,2,9,18,9,23,11,4,6
30,2025,15,Buccaneers,20,17,20,20,22,29,27,8,21
31,2025,15,Titans,28,31,31,31,32,28,23,18,26
32,2025,15,Commanders,31,24,24,4,18,30,30,29,30
