Player,Team,Pos,Injury,Status
Minkah Fitzpatrick,6,S,Hamstring,Questionable
Demetrius Flannigan-Fowles,30,LB,Ankle,Questionable
Dallis Flowers,12,CB,Achilles,IR
Leonard Floyd,3,DE,Illness,Questionable
Drew Forbes,7,OG,Back,NFI-R
Rudy Ford,24,S,Calf,Questionable
Bryce Ford-Wheaton,20,WR,Knee,IR
Darrick Forrest,18,S,Shoulder,IR
Jody Fortson,16,TE,Shoulder,IR
Isaiah Foskey,27,DE,Quadriceps,Questionable
Zaire Franklin,12,LB,Knee,Questionable
Feleipe Franks,26,TE,Undisclosed,IR
Pat Freiermuth,6,TE,Hamstring,IR
Russell Gage,28,WR,Knee,IR
Jon Gaines,31,C,Knee,IR
Graham Gano,20,K,Knee,IR
C.J. Gardner-Johnson,22,S,Pectoral,IR
Luke Gifford,9,LB,Shoulder,Questionable
Luke Goedeke,28,OG,Foot,Questionable
Dallas Goedert,17,TE,Forearm,Doubtful
Eddie Goldman,26,DT,Undisclosed,Reserve-Ex
Christian Gonzalez,4,CB,Shoulder - Labrum,IR
C.J. Goodwin,19,CB,Pectoral,IR
Marquise Goodwin,7,WR,Concussion,Out
Alfonzo Graham,6,RB,Undisclosed,IR
Thomas Graham,7,CB,Ankle,IR
Jakeem Grant,7,WR,Kneecap,IR
Danny Gray,30,WR,Shoulder - AC Joint,IR
Eric Gray,20,RB,Calf,IR
Kendrick Green,10,OG,Knee - Meniscus,IR
Kenyon Green,10,OG,Shoulder - Labrum,IR
Jonathan Greenard,10,DE,Shoulder,Questionable
Ethan Greenidge,26,OT,Undisclosed,IR
Jonas Griffith,13,LB,Knee - ACL,IR
Yetur Gross-Matos,25,LB,Hamstring,IR
Javelin Guidry,2,CB,Knee,IR
Troy Hairston,10,FB,Back,IR
Jaren Hall,21,QB,Concussion,Questionable
Logan Hall,28,DE,Groin,Questionable
Maalik Hall,2,LB,Undisclosed,IR
Terez Hall,4,LB,Undisclosed,IR
Malik Hamm,8,LB,Ankle,IR
Jake Hansen,10,LB,Hand,Doubtful
Justin Hardee,2,CB,Hamstring,IR
Javon Hargrave,30,DT,Knee,Questionable
Damien Harris,3,RB,Concussion,IR
Hassan Haskins,9,RB,Undisclosed,IR
J.C. Hassenauer,20,C,Triceps,IR
Rob Havenstein,32,OT,Calf,Questionable
Josh Hayes,28,CB,Concussion,Out
Charlie Heck,10,OT,Foot,PUP-R
Matt Hembrough,31,C,Back,IR
Peyton Hendershot,19,TE,Ankle,IR
CJ Henderson,25,CB,Concussion,Inactive
Matt Hennessy,26,OG,Knee,IR
Khalil Herbert,23,RB,Ankle,IR-R
Will Hernandez,31,OG,Knee,Questionable
Cameron Heyward,6,DE,Groin,Questionable
Tee Higgins,5,WR,Hamstring,Out
Nyheim Hines,3,RB,Knee,NFI-R
Nate Hobbs,15,CB,Ankle,Questionable
T.J. Hockenson,21,TE,Ribs,Questionable
Cooper Hodges,11,OT,Knee,IR
Cole Holcomb,6,LB,Knee,IR
Mack Hollins,26,WR,Ankle,Out
Hendon Hooker,22,QB,Knee - ACL,NFI-R
Austin Hooper,15,TE,Calf,Questionable
Jaycee Horn,25,CB,Hamstring,IR
James Houston,22,LB,Ankle,IR
Justin Houston,25,LB,Hamstring,IR
Brian Hoyer,15,QB,Knee,Questionable
Sam Hubbard,5,DE,Ankle,Out
Evan Hull,12,RB,Knee,IR
Marlon Humphrey,8,CB,Hamstring,Questionable
D.J. Humphries,31,OT,Ankle,Questionable
Robert Hunt,1,OG,Hamstring,Questionable
Jalen Hurts,17,QB,Knee,Questionable
Micah Hyde,3,S,Arm,Questionable
Myles Jack,17,LB,Personal,Reserve-Ret
Adoree' Jackson,20,CB,Concussion,Out
Deon Jackson,20,RB,Concussion,Out
Drake Jackson,30,DE,Knee,Questionable
J.C. Jackson,4,CB,Personal,Out
Kareem Jackson,13,S,Suspension,Reserve-Sus
Kearis Jackson,9,WR,Ankle,IR
Richie James,16,WR,Knee - MCL,IR-R
