nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,15,Cardinals,19,15,13,11,10,14,2,10,1
2,2016,15,Falcons,6,1,3,16,3,28,32,14,28
3,2016,15,Ravens,12,21,7,28,16,4,11,1,4
4,2016,15,Bills,25,10,31,1,20,18,7,28,18
5,2016,15,Panthers,22,13,23,14,19,26,30,5,23
6,2016,15,Bears,28,30,17,20,17,15,6,19,7
7,2016,15,Bengals,20,23,11,8,9,11,12,25,20
8,2016,15,Browns,32,31,28,26,30,31,17,31,31
9,2016,15,Cowboys,2,6,20,2,5,5,28,2,16
10,2016,15,Broncos,13,16,19,27,25,6,1,29,3
11,2016,15,Lions,9,17,14,29,21,10,20,11,15
12,2016,15,Packers,11,7,10,22,12,21,19,9,13
13,2016,15,Texans,17,29,30,5,28,13,5,18,6
14,2016,15,Colts,24,9,9,24,14,25,26,24,29
15,2016,15,Jaguars,31,27,21,21,23,27,4,23,5
16,2016,15,Chiefs,3,14,18,25,24,8,18,27,27
17,2016,15,Dolphins,18,20,27,13,26,17,10,30,25
18,2016,15,Vikings,15,24,24,32,31,1,3,16,2
19,2016,15,Patriots,1,5,4,7,4,2,15,6,9
20,2016,15,Saints,23,2,1,18,1,30,29,12,24
21,2016,15,Giants,5,25,16,31,27,7,23,8,14
22,2016,15,Jets,26,28,26,10,22,24,22,17,19
23,2016,15,Raiders,4,3,5,6,6,23,27,26,30
24,2016,15,Eagles,27,19,22,15,18,12,13,15,12
25,2016,15,Steelers,8,12,8,9,7,9,21,4,11
26,2016,15,Chargers,21,4,6,23,11,29,25,7,17
27,2016,15,49ers,29,26,32,4,29,32,14,32,32
28,2016,15,Seahawks,7,22,12,19,13,3,9,13,8
29,2016,15,Rams,30,32,29,30,32,19,8,20,10
30,2016,15,Buccaneers,10,18,15,17,15,16,16,21,22
31,2016,15,Titans,16,8,18,3,7,21,26,7,20
32,2016,15,Redskins,14,8,2,12,2,22,24,22,26
