Player,Team,Pos,Injury,Status
Da'Quan Felton,20,WR,Undisclosed,IR
Thomas Fidone,20,TE,Foot,IR
Justin Fields,2,QB,Knee,Out
AJ Finley,29,S,Knee,IR
Tucker Fisk,14,TE,Ankle,IR
John FitzPatrick,24,TE,Achilles,IR
Minkah Fitzpatrick,1,S,Calf,Questionable
Demetrius Flannigan-Fowles,20,LB,Illness,Questionable
Cor'Dale Flott,20,CB,Knee,Questionable
Ryan Flournoy,19,WR,Knee,Questionable
Jerome Ford,7,RB,Shoulder,IR
Bryce Ford-Wheaton,20,WR,Achilles,IR
Zah Frazier,23,CB,Personal,NFI-R
Blake Freeland,12,OT,Leg,IR
Josh Fuga,14,DT,Undisclosed,IR
Graham Gano,20,K,Neck,IR
Sauce Gardner,12,CB,Calf,Questionable
C.J. Gardner-Johnson,23,S,Knee,Questionable
Nick Gargiulo,13,OG,Knee,IR
Ali Gaye,9,LB,Knee,IR-R
Brandon George,16,LB,Undisclosed,IR
Antonio Gibson,4,RB,Knee - ACL,IR
Blake Gillikin,31,P,Back,IR
Travis Glover,24,OT,Shoulder,IR
Eddie Goldman,18,DT,Concussion,IR
Kyler Gordon,23,CB,Groin,IR
Anthony Gould,12,WR,Foot,Questionable
Cam Grandy,5,TE,Collarbone,Questionable
Cedric Gray,9,LB,Concussion,Questionable
Renardo Green,30,CB,Neck,Questionable
Jonathan Greenard,21,LB,Shoulder,IR
Garret Greenfield,28,OT,Undisclosed,Reserve-Ret
Dre Greenlaw,13,LB,Hamstring,Doubtful
Tyler Guyton,19,OT,Ankle,Questionable
Robert Hainsey,11,C,Groin,Questionable
Darren Hall,31,CB,Concussion,Questionable
Derick Hall,29,LB,Suspension,Reserve-Sus
Mike Hall,7,DT,Illness,Questionable
Kyonte Hamilton,10,DT,Ankle,IR
Damar Hamlin,3,S,Pectoral,IR
Blake Hance,9,OG,Shoulder,IR
Deion Hankins,23,RB,Quadriceps,IR
Jake Hansen,10,LB,Chest,Questionable
Javon Hargrave,21,DT,Thigh,Questionable
Marcus Harris,9,CB,Knee,Questionable
Najee Harris,14,RB,Achilles,IR
Zach Harrison,26,DE,Knee,IR
Gus Hartwig,2,C,Undisclosed,IR
Rob Havenstein,32,OT,Ankle,IR
Malik Heath,26,WR,Personal,Questionable
DeMarcco Hellams,26,S,Hamstring,IR
TreVeyon Henderson,4,RB,Concussion,Questionable
Trey Hendrickson,5,DE,Pelvis,IR
Matt Henningsen,13,DT,Achilles,IR
Nick Herbig,6,LB,Hamstring,Questionable
Will Hernandez,31,OG,Hip,IR
Jordan Hicks,7,LB,Undisclosed,Reserve-Ret
Tyler Higbee,32,TE,Ankle,IR
Jay Higgins,8,LB,Knee,IR-R
Justice Hill,8,RB,Neck,IR
Tyreek Hill,1,WR,Knee - ACL,IR
Kurt Hinish,10,DT,Undisclosed,PUP-R
Myles Hinton,17,OT,Back,IR
T.J. Hockenson,21,TE,Shoulder,Questionable
KhaDarel Hodge,26,WR,Shoulder,IR
Cooper Hodges,11,OG,Knee,PUP-R
Michael Hoecht,3,DE,Achilles,IR
George Holani,29,RB,Hamstring,IR
Dylan Horton,10,DE,Hip,Questionable
Tory Horton,29,WR,Shin,IR
Xavien Howard,12,CB,Personal,Reserve-Ret
Sam Hubbard,5,DE,Undisclosed,Reserve-Ret
Mike Hughes,26,CB,Ankle,Questionable
Robert Hunt,25,OG,Biceps,IR
Travis Hunter,11,WR,Knee,IR
Germain Ifedi,1,OT,Undisclosed,IR
Keaontay Ingram,16,RB,Undisclosed,IR
Adisa Isaac,8,LB,Elbow,IR-R
Isaiah Iton,4,DE,Hip,IR
Brennan Jackson,15,LB,Foot,IR
Dan Jackson,22,S,Leg,IR
Lamar Jackson,8,QB,Back,Questionable
Landon Jackson,3,DE,Knee,IR
Tarron Jackson,30,DE,Undisclosed,IR
Tyree Jackson,18,TE,Undisclosed,IR
Josh Jacobs,24,RB,Knee,Questionable
Javontae Jean-Baptiste,18,DE,Pectoral,IR
Elgton Jenkins,24,C,Lower Leg,IR
Kris Jenkins,5,DT,Ankle,IR
Terrell Jennings,4,RB,Concussion,IR
Anthony Johnson,20,S,Undisclosed,PUP-R
Caleb Johnson,1,LB,Shoulder,IR
Isaiah Johnson,1,CB,Knee,Questionable
Lane Johnson,17,OT,Foot,Questionable
Nazeeh Johnson,16,CB,Shoulder,IR-R
Paris Johnson,31,OT,Knee - MCL,Questionable
Roschon Johnson,23,RB,Thumb,IR
Aaron Jones,21,RB,Ankle,Questionable
Brandon Jones,13,S,Pectoral,IR
Braxton Jones,23,OT,Knee,IR
Broderick Jones,6,OT,Neck,IR
Charlie Jones,5,WR,Ankle,Questionable
Daniel Jones,12,QB,Achilles,IR
DaQuan Jones,3,DT,Undisclosed,Questionable
Dawand Jones,7,OT,Knee,IR
Dom Jones,7,CB,Knee,IR
Emory Jones,26,QB,Concussion,IR
Jamarco Jones,22,OT,Achilles,IR
Nic Jones,20,CB,Shoulder,IR
Patrick Jones,25,LB,Back,IR
Rob Jones,19,OG,Neck,IR
Zay Jones,31,WR,Achilles,IR
Brevin Jordan,10,TE,Knee,IR
Kerby Joseph,22,S,Knee,IR
Quinshon Judkins,7,RB,Lower Leg,IR
PJ Jules,5,S,Ankle,Questionable
Alvin Kamara,27,RB,Knee - MCL,Questionable
Sam Kamara,7,DT,Elbow,Questionable
Calijah Kancey,28,DT,Pectoral,IR
Trevor Keegan,19,OG,Neck,IR
Kyu Blu Kelly,15,CB,Knee,IR
Ryan Kelly,21,C,Concussion,Out
Anthony Kendall,7,CB,Undisclosed,IR
Tom Kennedy,22,WR,Abdomen,Questionable
Donte Kent,6,CB,Ankle,IR
Ko Kieft,28,TE,Leg,IR
Miles Killebrew,6,S,Knee,IR
Jack Kiser,11,LB,Undisclosed,IR
George Kittle,30,TE,Ankle,Questionable
Bam Knight,31,RB,Ankle,IR
Kader Kohou,1,CB,Knee - ACL,IR
Bilhal Kone,8,CB,Knee,IR
Tucker Kraft,24,TE,Knee - ACL,IR
Lucas Krull,13,TE,Foot,IR
Quentin Lake,32,S,Elbow,IR
Chris Lammons,12,CB,Foot,IR
Brock Lampe,4,RB,Undisclosed,IR
Willie Lampkin,17,C,Knee,IR
Jaylin Lane,18,WR,Ankle,IR
Sam LaPorta,22,TE,Back,IR
Lan Larison,4,RB,Foot,IR
Kamari Lassiter,10,CB,Foot,Questionable
Marshon Lattimore,18,CB,Knee - ACL,IR
Cameron Latu,17,TE,Neck,Questionable
Matt Lee,5,C,Knee,IR
Will Levis,9,QB,Shoulder,IR
MarShawn Lloyd,24,RB,Hamstring,IR
Tyler Lockett,15,WR,Wrist,Questionable
Robert Longerbeam,8,CB,Knee,IR
Isaiahh Loudermilk,6,DE,Ankle,IR
Rick Lovato,14,C,Undisclosed,Reserve-Ret
Jordan Love,24,QB,Concussion,Questionable
Dean Lowry,6,DE,Knee,IR
Chase Lundt,3,OT,Knee,IR
Avonte Maddox,22,CB,Back,Questionable
Nnamdi Madubuike,8,DT,Neck,IR
Phil Mafah,19,RB,Shoulder,IR-R
