season,week,weekstart,weekend,gametypeid
2025,1,"Sep 4, 2025","Sep 9, 2025",2
2025,2,"Sep 11, 2025","Sep 16, 2025",2
2025,3,"Sep 18, 2025","Sep 23, 2025",2
2025,4,"Sep 25, 2025","Sep 30, 2025",2
2025,5,"Oct 2, 2025","Oct 7, 2025",2
2025,6,"Oct 9, 2025","Oct 14, 2025",2
2025,7,"Oct 16, 2025","Oct 21, 2025",2
2025,8,"Oct 23, 2025","Oct 28, 2025",2
2025,9,"Oct 30, 2025","Nov 4, 2025",2
2025,10,"Nov 6, 2025","Nov 11, 2025",2
2025,11,"Nov 13, 2025","Nov 18, 2025",2
2025,12,"Nov 20, 2025","Nov 25, 2025",2
2025,13,"Nov 27, 2025","Dec 2, 2025",2
2025,14,"Dec 4, 2025","Dec 9, 2025",2
2025,15,"Dec 11, 2025","Dec 16, 2025",2
2025,16,"Dec 18, 2025","Dec 23, 2025",2
2025,17,"Dec 25, 2025","Dec 30, 2025",2
2025,18,"Jan 1, 2026","Jan 6, 2026",2
2025,19,"Jan 8, 2026","Jan 13, 2026",3
2025,20,"Jan 15, 2026","Jan 20, 2026",3
2025,21,"Jan 22, 2026","Jan 27, 2026",3
2025,22,"Feb 5, 2026","Feb 10, 2026",3
