NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2023,6,Cardinals,30,19,29,6,15,27,26,22,26
2,2023,6,Falcons,24,27,23,13,20,10,7,15,7
3,2023,6,Ravens,7,17,26,4,13,2,3,7,2
4,2023,6,Bills,2,3,4,16,4,5,8,25,12
5,2023,6,Panthers,28,25,22,21,23,28,5,26,13
6,2023,6,Bears,27,12,18,9,14,30,31,12,29
7,2023,6,Bengals,13,27,25,31,31,20,10,31,21
8,2023,6,Browns,11,23,30,5,21,2,1,4,1
9,2023,6,Cowboys,4,8,20,10,17,7,2,21,5
10,2023,6,Broncos,31,10,13,19,16,32,29,32,32
11,2023,6,Lions,8,4,9,7,6,15,17,3,6
12,2023,6,Packers,22,14,21,28,28,18,9,27,17
13,2023,6,Texans,19,12,3,27,11,11,18,17,18
14,2023,6,Colts,23,11,15,8,12,22,28,19,28
15,2023,6,Jaguars,10,20,11,15,10,12,27,5,20
16,2023,6,Chiefs,3,9,7,12,7,5,13,11,9
26,2023,6,Chargers,9,7,6,14,5,24,32,14,31
29,2023,6,Rams,15,15,5,22,8,16,15,20,15
23,2023,6,Raiders,25,29,17,32,29,20,11,23,14
17,2023,6,Dolphins,5,1,1,1,1,26,20,18,23
18,2023,6,Vikings,14,16,2,29,9,23,22,13,19
19,2023,6,Patriots,26,32,18,26,26,25,6,16,8
20,2023,6,Saints,17,22,24,20,25,4,4,8,4
21,2023,6,Giants,32,31,31,23,32,29,19,30,27
22,2023,6,Jets,16,24,32,11,27,14,14,29,22
24,2023,6,Eagles,6,5,10,2,2,13,25,1,10
25,2023,6,Steelers,20,29,27,30,30,17,24,28,30
27,2023,6,49ers,1,2,8,3,3,1,12,2,3
28,2023,6,Seahawks,12,6,16,17,19,19,30,6,24
30,2023,6,Buccaneers,21,20,14,25,22,8,16,10,11
31,2023,6,Titans,18,26,28,18,24,9,23,9,16
32,2023,6,Commanders,29,17,12,24,18,31,21,24,25
