Player,Team,Pos,Injury,Status
De'Von Achane,1,RB,Calf,Questionable
Jordan Addison,21,WR,Suspension,Reserve-Sus
Nate Adkins,13,TE,Ankle,Out
Jamal Agnew,26,WR,Oblique,Questionable
Salvon Ahmed,12,RB,Ankle,IR
Brandon Aiyuk,30,WR,Knee - ACL + MCL,PUP-R
Isaac Alarcon,30,OT,Suspension,Reserve-Sus
Jaire Alexander,8,CB,Knee,Questionable
Erick All,5,TE,Knee - ACL,PUP-R
Troy Andersen,26,LB,Knee,PUP-R
Alec Anderson,3,OT,Knee,Questionable
Calvin Anderson,6,OT,Undisclosed,Questionable
Zayne Anderson,24,S,Knee,Questionable
Daijahn Anthony,5,S,Hamstring,IR-R
Felix Anudike-Uzomah,16,DE,Hamstring,IR
Arik Armstead,11,DT,Back,Questionable
Terron Armstead,1,OT,Undisclosed,Reserve-Ret
Grayland Arnold,26,S,Undisclosed,IR
Terrion Arnold,22,CB,Hamstring,Questionable
Popo Aumavae,25,DT,Achilles,IR
Calvin Austin,6,WR,Abdomen,Questionable
Denico Autry,10,DT,Knee,PUP-R
Aaron Banks,24,OG,Back,Questionable
Ben Bartch,30,OG,Elbow,Questionable
Gavin Bartholomew,21,TE,Back,PUP-R
Tyler Batty,21,DE,Knee,IR-R
Mekhi Becton,14,OG,Undisclosed,Questionable
David Bell,7,WR,Hip,NFI-R
Keeanu Benton,6,DT,Upper Body,Questionable
Terrel Bernard,3,LB,Hamstring,Questionable
Jaydon Blue,19,RB,Ankle,Questionable
Jake Bobo,29,WR,Concussion,Questionable
Ethan Bonner,1,CB,Hamstring,Questionable
Austin Booker,23,DE,Knee,IR
Nick Bosa,30,DE,Neck,Questionable
Khristian Boyd,27,DT,Hand,Questionable
Kris Boyd,2,CB,Shoulder,IR
Carter Bradley,30,QB,Undisclosed,IR
Jake Briningstool,16,TE,Hamstring,IR-R
Jonathon Brooks,25,RB,Knee - ACL,PUP-R
Jordyn Brooks,1,LB,Undisclosed,Questionable
A.J. Brown,17,WR,Hamstring,Questionable
Hollywood Brown,16,WR,Ankle,Questionable
Montaric Brown,11,CB,Lower Leg,Questionable
Noah Brown,18,WR,Undisclosed,Questionable
Omar Brown,24,S,Chest,IR
Tre Brown,30,CB,Heel,IR
DeForest Buckner,12,DT,Back,Questionable
Treylon Burks,9,WR,Collarbone,IR
Artie Burns,1,CB,Knee - ACL,IR
Jermaine Burton,5,WR,Knee,Questionable
Michael Burton,13,FB,Hamstring,IR
Deon Bush,16,S,Achilles,IR
Josh Butler,19,CB,Knee - ACL,PUP-R
Yodny Cajuste,1,OT,Undisclosed,IR
Tyson Campbell,11,CB,Undisclosed,Questionable
Jaylon Carlies,12,LB,Ankle,IR-R
Derek Carr,27,QB,Shoulder,Reserve-Ret
Caelen Carson,19,CB,Knee,IR
DeWayne Carter,3,DT,Achilles,Out
Ja'Tyre Carter,25,OG,Ankle,IR
Joshua Cephus,11,WR,Undisclosed,IR
Irvin Charles,2,WR,Knee - ACL,PUP-R
Efton Chism,4,WR,Foot,Questionable
