nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,15,Cardinals,19,12,9,14,9,19,5,12,4
2,2016,15,Falcons,6,1,3,8,2,26,30,15,25
3,2016,15,Ravens,12,19,11,28,18,7,10,2,5
4,2016,15,Bills,25,9,31,1,19,15,8,27,16
5,2016,15,Panthers,22,14,19,10,17,25,32,3,22
6,2016,15,Bears,28,29,14,22,15,16,6,23,9
7,2016,15,Bengals,20,23,15,11,12,11,13,26,21
8,2016,15,Browns,32,31,28,25,30,31,15,31,31
9,2016,15,Cowboys,2,5,20,2,5,5,28,1,13
10,2016,15,Broncos,13,21,18,27,24,4,1,29,2
11,2016,15,Lions,9,20,12,29,22,10,16,11,14
12,2016,15,Packers,11,7,10,15,10,23,24,10,19
13,2016,15,Texans,17,28,30,5,26,12,2,16,1
14,2016,15,Colts,24,8,7,19,11,22,27,20,27
15,2016,15,Jaguars,31,27,26,24,28,28,4,21,7
16,2016,15,Chiefs,3,15,22,23,23,8,19,28,28
17,2016,15,Dolphins,18,17,27,16,25,14,11,30,24
18,2016,15,Vikings,15,25,21,32,31,6,3,18,3
19,2016,15,Patriots,1,6,4,7,4,1,17,4,10
20,2016,15,Saints,23,2,1,17,1,30,31,13,26
21,2016,15,Giants,5,24,17,30,27,3,23,6,15
22,2016,15,Jets,26,30,25,13,21,27,21,14,17
23,2016,15,Raiders,4,3,6,6,6,21,25,25,30
24,2016,15,Eagles,27,16,24,9,20,13,12,17,12
25,2016,15,Steelers,8,11,5,12,7,9,14,5,8
26,2016,15,Chargers,21,4,8,26,13,29,22,9,18
27,2016,15,49ers,29,26,32,4,29,32,18,32,32
28,2016,15,Seahawks,7,22,13,20,14,2,7,8,6
29,2016,15,Rams,30,32,29,31,32,20,9,19,11
30,2016,15,Buccaneers,10,18,16,21,16,17,20,24,23
31,2016,15,Titans,16,13,23,3,8,18,29,7,20
32,2016,15,Redskins,14,10,2,18,3,24,26,22,29
