season,gametypeid,week,team
2024,2,5,Lions 
2024,2,5,Chargers
2024,2,5,Eagles
2024,2,5,Titans
2024,2,6,Chiefs
2024,2,6,Rams
2024,2,6,Dolphins
2024,2,6,Vikings
2024,2,7,Bears 
2024,2,7,Cowboys
2024,2,9,Steelers
2024,2,9,49ers
2024,2,10,Browns
2024,2,10,Packers
2024,2,10,Raiders
2024,2,10,Seahawks
2024,2,11,Cardinals
2024,2,11,Panthers
2024,2,11,Giants
2024,2,11,Buccaneers
2024,2,12,Falcons
2024,2,12,Bills
2024,2,12,Bengals
2024,2,12,Jaguars
2024,2,12,Saints
2024,2,12,Jets
2024,2,14,Ravens
2024,2,14,Broncos
2024,2,14,Texans
2024,2,14,Colts
2024,2,14,Patriots
2024,2,14,Commanders
