season,gametypeid,week,date,time,network,awayteam,hometeam
2021,2,6,10/17/2021,4:25 PM,CBS,Raiders,Broncos
2021,2,6,10/17/2021,8:20 PM,NBC,Seahawks,Steelers
2021,2,6,10/18/2021,8:15 PM,ESPN,Bills,Titans
2021,2,7,10/21/2021,8:20 PM,FOX,Broncos,Browns
2021,2,7,10/24/2021,1:00 PM,CBS,Bengals,Ravens
2021,2,7,10/24/2021,1:00 PM,CBS,Chiefs,Titans
2021,2,7,10/24/2021,1:00 PM,FOX,Falcons,Dolphins
2021,2,7,10/24/2021,1:00 PM,CBS,Jets,Patriots
2021,2,7,10/24/2021,1:00 PM,FOX,Panthers,Giants
2021,2,7,10/24/2021,1:00 PM,FOX,Redskins,Packers
2021,2,7,10/24/2021,4:05 PM,FOX,Eagles,Raiders
2021,2,7,10/24/2021,4:05 PM,FOX,Lions,Rams
2021,2,7,10/24/2021,4:25 PM,CBS,Bears,Buccaneers
2021,2,7,10/24/2021,4:25 PM,CBS,Texans,Cardinals
2021,2,7,10/24/2021,8:20 PM,NBC,Colts,49ers
2021,2,7,10/25/2021,8:15 PM,ESPN,Saints,Seahawks
2021,2,8,10/28/2021,8:20 PM,FOX,Packers,Cardinals
2021,2,8,10/31/2021,1:00 PM,FOX,49ers,Bears
2021,2,8,10/31/2021,1:00 PM,CBS,Bengals,Jets
2021,2,8,10/31/2021,1:00 PM,CBS,Dolphins,Bills
2021,2,8,10/31/2021,1:00 PM,FOX,Eagles,Lions
2021,2,8,10/31/2021,1:00 PM,FOX,Panthers,Falcons
2021,2,8,10/31/2021,1:00 PM,FOX,Rams,Texans
2021,2,8,10/31/2021,1:00 PM,CBS,Steelers,Browns
2021,2,8,10/31/2021,1:00 PM,CBS,Titans,Colts
2021,2,8,10/31/2021,4:05 PM,CBS,Jaguars,Seahawks
2021,2,8,10/31/2021,4:05 PM,CBS,Patriots,Chargers
2021,2,8,10/31/2021,4:25 PM,FOX,Buccaneers,Saints
2021,2,8,10/31/2021,4:25 PM,FOX,Redskins,Broncos
2021,2,8,10/31/2021,8:20 PM,NBC,Cowboys,Vikings
2021,2,8,11/1/2021,8:15 PM,ESPN,Giants,Chiefs
2021,2,9,11/4/2021,8:20 PM,FOX,Jets,Colts
2021,2,9,11/7/2021,1:00 PM,CBS,Bills,Jaguars
2021,2,9,11/7/2021,1:00 PM,FOX,Broncos,Cowboys
2021,2,9,11/7/2021,1:00 PM,CBS,Browns,Bengals
2021,2,9,11/7/2021,1:00 PM,FOX,Falcons,Saints
2021,2,9,11/7/2021,1:00 PM,CBS,Patriots,Panthers
2021,2,9,11/7/2021,1:00 PM,CBS,Raiders,Giants
2021,2,9,11/7/2021,1:00 PM,FOX,Texans,Dolphins
2021,2,9,11/7/2021,1:00 PM,FOX,Vikings,Ravens
2021,2,9,11/7/2021,4:05 PM,CBS,Chargers,Eagles
2021,2,9,11/7/2021,4:25 PM,FOX,Cardinals,49ers
2021,2,9,11/7/2021,4:25 PM,CBS,Packers,Chiefs
2021,2,9,11/7/2021,8:20 PM,NBC,Titans,Rams
2021,2,9,11/8/2021,8:15 PM,ESPN,Bears,Steelers
2021,2,10,11/11/2021,8:20 PM,FOX,Ravens,Dolphins
2021,2,10,11/14/2021,1:00 PM,CBS,Bills,Jets
2021,2,10,11/14/2021,1:00 PM,CBS,Browns,Patriots
2021,2,10,11/14/2021,1:00 PM,FOX,Buccaneers,Redskins
2021,2,10,11/14/2021,1:00 PM,FOX,Falcons,Cowboys
2021,2,10,11/14/2021,1:00 PM,CBS,Jaguars,Colts
2021,2,10,11/14/2021,1:00 PM,FOX,Lions,Steelers
2021,2,10,11/14/2021,1:00 PM,CBS,Saints,Titans
2021,2,10,11/14/2021,4:05 PM,FOX,Panthers,Cardinals
2021,2,10,11/14/2021,4:05 PM,FOX,Vikings,Chargers
2021,2,10,11/14/2021,4:25 PM,CBS,Eagles,Broncos
2021,2,10,11/14/2021,4:25 PM,CBS,Seahawks,Packers
2021,2,10,11/14/2021,8:20 PM,NBC,Chiefs,Raiders
