season,gametypeid,week,date,awayteam,hometeam,network,time
2025,2,1,09/04/2025,Cowboys,Eagles,NBC,8:20 PM
2025,2,1,09/05/2025,Chiefs,Chargers,YouTube,8:00 PM
2025,2,1,09/07/2025,Buccaneers,Falcons,FOX,1:00 PM
2025,2,1,09/07/2025,Bengals,Browns,FOX,1:00 PM
2025,2,1,09/07/2025,Dolphins,Colts,CBS,1:00 PM
2025,2,1,09/07/2025,Panthers,Jaguars,FOX,1:00 PM
2025,2,1,09/07/2025,Cardinals,Saints,CBS,1:00 PM
2025,2,1,09/07/2025,Raiders,Patriots,CBS,1:00 PM
2025,2,1,09/07/2025,Steelers,Jets,CBS,1:00 PM
2025,2,1,09/07/2025,Giants,Commanders,FOX,1:00 PM
2025,2,1,09/07/2025,Titans,Broncos,FOX,4:05 PM
2025,2,1,09/07/2025,49ers,Seahawks,FOX,4:05 PM
2025,2,1,09/07/2025,Lions,Packers,CBS,4:25 PM
2025,2,1,09/07/2025,Texans,Rams,CBS,4:25 PM
2025,2,1,09/07/2025,Ravens,Bills,NBC,8:20 PM
2025,2,1,09/08/2025,Vikings,Bears,ESPN,8:15 PM
2025,2,2,09/11/2025,Commanders,Packers,Amazon,8:15 PM
2025,2,2,09/14/2025,Jaguars,Bengals,CBS,1:00 PM
2025,2,2,09/14/2025,Giants,Cowboys,FOX,1:00 PM
2025,2,2,09/14/2025,Bears,Lions,FOX,1:00 PM
2025,2,2,09/14/2025,Patriots,Dolphins,CBS,1:00 PM
2025,2,2,09/14/2025,49ers,Saints,FOX,1:00 PM
2025,2,2,09/14/2025,Bills,Jets,CBS,1:00 PM
2025,2,2,09/14/2025,Rams,Titans,CBS,1:00 PM
2025,2,2,09/14/2025,Seahawks,Steelers,FOX,1:00 PM
2025,2,2,09/14/2025,Browns,Ravens,CBS,1:00 PM
2025,2,2,09/14/2025,Broncos,Colts,CBS,4:05 PM
2025,2,2,09/14/2025,Panthers,Cardinals,CBS,4:05 PM
2025,2,2,09/14/2025,Eagles,Chiefs,FOX,4:25 PM
2025,2,2,09/14/2025,Falcons,Vikings,NBC,8:20 PM
2025,2,2,09/15/2025,Buccaneers,Texans,ABC,7:00 PM
2025,2,2,09/15/2025,Chargers,Raiders,ESPN,10:00 PM
2025,2,3,09/18/2025,Dolphins,Bills,Amazon,8:15 PM
2025,2,3,09/21/2025,Falcons,Panthers,FOX,1:00 PM
2025,2,3,09/21/2025,Packers,Browns,FOX,1:00 PM
2025,2,3,09/21/2025,Texans,Jaguars,CBS,1:00 PM
2025,2,3,09/21/2025,Bengals,Vikings,CBS,1:00 PM
2025,2,3,09/21/2025,Steelers,Patriots,CBS,1:00 PM
2025,2,3,09/21/2025,Colts,Titans,CBS,1:00 PM
2025,2,3,09/21/2025,Rams,Eagles,FOX,1:00 PM
2025,2,3,09/21/2025,Jets,Buccaneers,FOX,1:00 PM
2025,2,3,09/21/2025,Raiders,Commanders,FOX,1:00 PM
2025,2,3,09/21/2025,Broncos,Chargers,CBS,4:05 PM
2025,2,3,09/21/2025,Saints,Seahawks,CBS,4:05 PM
2025,2,3,09/21/2025,Cowboys,Bears,FOX,4:25 PM
2025,2,3,09/21/2025,Cardinals,49ers,FOX,4:25 PM
2025,2,3,09/21/2025,Chiefs,Giants,NBC,8:20 PM
2025,2,3,09/22/2025,Lions,Ravens,ESPN,8:15 PM
2025,2,4,09/25/2025,Seahawks,Cardinals,Amazon,8:15 PM
2025,2,4,09/28/2025,Vikings,Steelers,NFL,9:30 AM
2025,2,4,09/28/2025,Commanders,Falcons,CBS,1:00 PM
2025,2,4,09/28/2025,Saints,Bills,CBS,1:00 PM
2025,2,4,09/28/2025,Browns,Lions,FOX,1:00 PM
2025,2,4,09/28/2025,Titans,Texans,CBS,1:00 PM
2025,2,4,09/28/2025,Panthers,Patriots,FOX,1:00 PM
2025,2,4,09/28/2025,Chargers,Giants,CBS,1:00 PM
2025,2,4,09/28/2025,Eagles,Buccaneers,FOX,1:00 PM
2025,2,4,09/28/2025,Colts,Rams,FOX,4:05 PM
2025,2,4,09/28/2025,Jaguars,49ers,FOX,4:05 PM
2025,2,4,09/28/2025,Ravens,Chiefs,CBS,4:25 PM
2025,2,4,09/28/2025,Bears,Raiders,CBS,4:25 PM
2025,2,4,09/28/2025,Packers,Cowboys,NBC,8:20 PM
2025,2,4,09/29/2025,Jets,Dolphins,ESPN,7:15 PM
2025,2,4,09/29/2025,Bengals,Broncos,ABC,8:15 PM
2025,2,5,10/02/2025,49ers,Rams,Amazon,8:15 PM
2025,2,5,10/05/2025,Vikings,Browns,NFL,9:30 AM
2025,2,5,10/05/2025,Dolphins,Panthers,FOX,1:00 PM
2025,2,5,10/05/2025,Raiders,Colts,FOX,1:00 PM
2025,2,5,10/05/2025,Giants,Saints,CBS,1:00 PM
2025,2,5,10/05/2025,Cowboys,Jets,FOX,1:00 PM
2025,2,5,10/05/2025,Broncos,Eagles,CBS,1:00 PM
2025,2,5,10/05/2025,Texans,Ravens,CBS,1:00 PM
2025,2,5,10/05/2025,Titans,Cardinals,CBS,4:05 PM
2025,2,5,10/05/2025,Buccaneers,Seahawks,CBS,4:05 PM
2025,2,5,10/05/2025,Lions,Bengals,FOX,4:25 PM
2025,2,5,10/05/2025,Commanders,Chargers,FOX,4:25 PM
2025,2,5,10/05/2025,Patriots,Bills,NBC,8:20 PM
2025,2,5,10/06/2025,Chiefs,Jaguars,ESPN,8:15 PM
2025,2,6,10/09/2025,Eagles,Giants,Amazon,8:15 PM
2025,2,6,10/12/2025,Broncos,Jets,NFL,9:30 AM
2025,2,6,10/12/2025,Cowboys,Panthers,FOX,1:00 PM
2025,2,6,10/12/2025,Cardinals,Colts,FOX,1:00 PM
2025,2,6,10/12/2025,Seahawks,Jaguars,FOX,1:00 PM
2025,2,6,10/12/2025,Chargers,Dolphins,CBS,1:00 PM
2025,2,6,10/12/2025,Browns,Steelers,CBS,1:00 PM
2025,2,6,10/12/2025,Rams,Ravens,FOX,1:00 PM
2025,2,6,10/12/2025,49ers,Buccaneers,CBS,1:00 PM
2025,2,6,10/12/2025,Titans,Raiders,FOX,4:05 PM
2025,2,6,10/12/2025,Bengals,Packers,CBS,4:25 PM
2025,2,6,10/12/2025,Patriots,Saints,CBS,4:25 PM
2025,2,6,10/12/2025,Lions,Chiefs,NBC,8:20 PM
2025,2,6,10/13/2025,Bills,Falcons,ESPN,7:15 PM
2025,2,6,10/13/2025,Bears,Commanders,ABC,8:15 PM
2025,2,7,10/16/2025,Steelers,Bengals,Amazon,8:15 PM
2025,2,7,10/19/2025,Rams,Jaguars,NFL,9:30 AM
2025,2,7,10/19/2025,Saints,Bears,FOX,1:00 PM
2025,2,7,10/19/2025,Dolphins,Browns,CBS,1:00 PM
2025,2,7,10/19/2025,Raiders,Chiefs,CBS,1:00 PM
2025,2,7,10/19/2025,Eagles,Vikings,FOX,1:00 PM
2025,2,7,10/19/2025,Panthers,Jets,FOX,1:00 PM
2025,2,7,10/19/2025,Patriots,Titans,CBS,1:00 PM
2025,2,7,10/19/2025,Giants,Broncos,CBS,4:05 PM
2025,2,7,10/19/2025,Colts,Chargers,CBS,4:05 PM
2025,2,7,10/19/2025,Packers,Cardinals,FOX,4:25 PM
2025,2,7,10/19/2025,Commanders,Cowboys,FOX,4:25 PM
2025,2,7,10/19/2025,Falcons,49ers,NBC,8:20 PM
2025,2,7,10/20/2025,Buccaneers,Lions,ESPN,7:00 PM
2025,2,7,10/20/2025,Texans,Seahawks,ESPN,10:00 PM
2025,2,8,10/23/2025,Vikings,Chargers,Amazon,8:15 PM
2025,2,8,10/26/2025,Dolphins,Falcons,CBS,1:00 PM
2025,2,8,10/26/2025,Bills,Panthers,FOX,1:00 PM
2025,2,8,10/26/2025,Jets,Bengals,CBS,1:00 PM
2025,2,8,10/26/2025,49ers,Texans,FOX,1:00 PM
2025,2,8,10/26/2025,Browns,Patriots,FOX,1:00 PM
2025,2,8,10/26/2025,Giants,Eagles,FOX,1:00 PM
2025,2,8,10/26/2025,Bears,Ravens,CBS,1:00 PM
2025,2,8,10/26/2025,Buccaneers,Saints,FOX,4:05 PM
2025,2,8,10/26/2025,Titans,Colts,CBS,4:25 PM
2025,2,8,10/26/2025,Cowboys,Broncos,CBS,4:25 PM
2025,2,8,10/26/2025,Packers,Steelers,NBC,8:20 PM
2025,2,8,10/27/2025,Commanders,Chiefs,ESPN,8:15 PM
2025,2,9,10/30/2025,Ravens,Dolphins,Amazon,8:15 PM
2025,2,9,11/02/2025,Bears,Bengals,CBS,1:00 PM
2025,2,9,11/02/2025,Vikings,Lions,FOX,1:00 PM
2025,2,9,11/02/2025,Panthers,Packers,FOX,1:00 PM
2025,2,9,11/02/2025,Broncos,Texans,FOX,1:00 PM
2025,2,9,11/02/2025,Falcons,Patriots,CBS,1:00 PM
2025,2,9,11/02/2025,49ers,Giants,CBS,1:00 PM
2025,2,9,11/02/2025,Chargers,Titans,CBS,1:00 PM
2025,2,9,11/02/2025,Colts,Steelers,CBS,1:00 PM
2025,2,9,11/02/2025,Jaguars,Raiders,FOX,4:05 PM
2025,2,9,11/02/2025,Saints,Rams,FOX,4:05 PM
2025,2,9,11/02/2025,Chiefs,Bills,CBS,4:25 PM
2025,2,9,11/02/2025,Seahawks,Commanders,NBC,8:20 PM
2025,2,9,11/03/2025,Cardinals,Cowboys,ESPN,8:15 PM
2025,2,10,11/06/2025,Raiders,Broncos,Amazon,8:15 PM
2025,2,10,11/09/2025,Falcons,Colts,NFL,9:30 AM
2025,2,10,11/09/2025,Saints,Panthers,FOX,1:00 PM
2025,2,10,11/09/2025,Giants,Bears,FOX,1:00 PM
2025,2,10,11/09/2025,Jaguars,Texans,CBS,1:00 PM
2025,2,10,11/09/2025,Bills,Dolphins,CBS,1:00 PM
2025,2,10,11/09/2025,Ravens,Vikings,FOX,1:00 PM
2025,2,10,11/09/2025,Browns,Jets,CBS,1:00 PM
2025,2,10,11/09/2025,Patriots,Buccaneers,CBS,1:00 PM
2025,2,10,11/09/2025,Cardinals,Seahawks,CBS,4:05 PM
2025,2,10,11/09/2025,Rams,49ers,FOX,4:25 PM
2025,2,10,11/09/2025,Lions,Commanders,FOX,4:25 PM
2025,2,10,11/09/2025,Steelers,Chargers,NBC,8:20 PM
2025,2,10,11/10/2025,Eagles,Packers,ESPN,8:15 PM
2025,2,11,11/13/2025,Jets,Patriots,Amazon,8:15 PM
2025,2,11,11/16/2025,Commanders,Dolphins,NFL,9:30 AM
2025,2,11,11/16/2025,Panthers,Falcons,FOX,1:00 PM
2025,2,11,11/16/2025,Buccaneers,Bills,CBS,1:00 PM
2025,2,11,11/16/2025,Chargers,Jaguars,CBS,1:00 PM
2025,2,11,11/16/2025,Bears,Vikings,FOX,1:00 PM
2025,2,11,11/16/2025,Packers,Giants,FOX,1:00 PM
2025,2,11,11/16/2025,Texans,Titans,FOX,1:00 PM
2025,2,11,11/16/2025,Bengals,Steelers,CBS,1:00 PM
2025,2,11,11/16/2025,49ers,Cardinals,FOX,4:05 PM
2025,2,11,11/16/2025,Seahawks,Rams,FOX,4:05 PM
2025,2,11,11/16/2025,Ravens,Browns,CBS,4:25 PM
2025,2,11,11/16/2025,Chiefs,Broncos,CBS,4:25 PM
2025,2,11,11/16/2025,Lions,Eagles,NBC,8:20 PM
2025,2,11,11/17/2025,Cowboys,Raiders,ESPN,8:15 PM
