NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,6,Cardinals,23,20,24,17,22,14,28,13,24
2,2025,6,Falcons,22,27,12,1,2,7,1,17,1
3,2025,6,Ravens,16,13,28,9,21,32,29,26,29
4,2025,6,Bills,5,4,13,2,3,17,4,30,17
5,2025,6,Panthers,24,19,27,4,18,21,17,9,10
6,2025,6,Bears,21,10,11,18,14,27,15,31,27
7,2025,6,Bengals,25,29,30,32,31,30,31,28,31
8,2025,6,Browns,29,32,26,28,27,21,7,3,3
9,2025,6,Cowboys,20,3,2,15,1,31,32,29,32
10,2025,6,Broncos,8,20,16,7,15,2,3,6,2
11,2025,6,Lions,1,2,14,8,11,18,14,11,9
12,2025,6,Packers,6,8,10,12,9,10,11,1,5
13,2025,6,Texans,3,22,19,16,20,1,5,7,4
14,2025,6,Colts,7,1,5,6,4,4,22,12,19
15,2025,6,Jaguars,12,17,15,11,17,7,30,8,23
16,2025,6,Chiefs,4,9,8,14,8,11,8,19,12
26,2025,6,Chargers,17,23,9,13,7,12,6,21,7
29,2025,6,Rams,10,16,3,22,5,3,9,15,8
23,2025,6,Raiders,27,29,18,23,23,23,19,10,11
17,2025,6,Dolphins,26,18,21,27,26,29,20,32,30
18,2025,6,Vikings,13,12,19,21,25,5,2,24,6
19,2025,6,Patriots,18,11,6,26,16,7,25,4,16
20,2025,6,Saints,32,28,22,19,24,25,16,17,18
21,2025,6,Giants,28,26,17,9,19,20,26,22,28
22,2025,6,Jets,30,25,32,5,28,28,10,23,20
24,2025,6,Eagles,2,15,29,25,30,19,12,26,21
25,2025,6,Steelers,19,14,25,29,29,16,27,16,25
27,2025,6,49ers,15,24,1,30,6,15,18,14,15
28,2025,6,Seahawks,11,5,4,24,10,6,24,2,13
30,2025,6,Buccaneers,14,6,7,20,12,24,21,5,14
31,2025,6,Titans,31,31,31,31,32,26,13,25,22
32,2025,6,Commanders,9,7,23,2,13,13,23,20,26
