season,week,weekstart,weekend,gametypeid
2024,1,"Sep 5, 2024","Sep 10, 2024",2
2024,2,"Sep 12, 2024","Sep 17, 2024",2
2024,3,"Sep 19, 2024","Sep 24, 2024",2
2024,4,"Sep 26, 2024","Oct 1, 2024",2
2024,5,"Oct 3, 2024","Oct 8, 2024",2
2024,6,"Oct 10, 2024","Oct 15, 2024",2
2024,7,"Oct 17, 2024","Oct 22, 2024",2
2024,8,"Oct 24, 2024","Oct 29, 2024",2
2024,9,"Oct 31, 2024","Nov 5, 2024",2
2024,10,"Nov 7, 2024","Nov 12, 2024",2
2024,11,"Nov 14, 2024","Nov 19, 2024",2
2024,12,"Nov 21, 2024","Nov 26, 2024",2
2024,13,"Nov 28, 2024","Dec 3, 2024",2
2024,14,"Dec 5, 2024","Dec 10, 2024",2
2024,15,"Dec 12, 2024","Dec 17, 2024",2
2024,16,"Dec 19, 2024","Dec 24, 2024",2
2024,17,"Dec 26, 2024","Dec 31, 2024",2
2024,18,"Jan 2, 2025","Jan 7, 2025",2
2024,19,"Jan 9, 2025","Jan 14, 2025",3
2024,20,"Jan 16, 2025","Jan 21, 2025",3
2024,21,"Jan 23, 2025","Jan 28, 2025",3
2024,22,"Feb 9, 2025","Feb 10, 2025",3
