season,gametypeid,week,date,awayteam,hometeam,network,time
2024,2,6,10/14/2024,Bills,Jets,ESPN,8:15 PM
2024,2,7,10/17/2024,Broncos,Saints,Amazon,8:15 PM
2024,2,7,10/20/2024,Patriots,Jaguars,NFL,9:30 AM
2024,2,7,10/20/2024,Seahawks,Falcons,FOX,1:00 PM
2024,2,7,10/20/2024,Titans,Bills,CBS,1:00 PM
2024,2,7,10/20/2024,Bengals,Browns,CBS,1:00 PM
2024,2,7,10/20/2024,Dolphins,Colts,CBS,1:00 PM
2024,2,7,10/20/2024,Texans,Packers,FOX,1:00 PM
2024,2,7,10/20/2024,Lions,Vikings,FOX,1:00 PM
2024,2,7,10/20/2024,Eagles,Giants,FOX,1:00 PM
2024,2,7,10/20/2024,Raiders,Rams,CBS,4:05 PM
2024,2,7,10/20/2024,Panthers,Commanders,CBS,4:05 PM
2024,2,7,10/20/2024,Chiefs,49ers,FOX,4:25 PM
2024,2,7,10/20/2024,Jets,Steelers,NBC,8:20 PM
2024,2,7,10/21/2024,Ravens,Buccaneers,ESPN,8:15 PM
2024,2,7,10/21/2024,Chargers,Cardinals,ESPN,9:00 PM
2024,2,8,10/24/2024,Vikings,Rams,Amazon,8:15 PM
2024,2,8,10/27/2024,Ravens,Browns,CBS,1:00 PM
2024,2,8,10/27/2024,Titans,Lions,FOX,1:00 PM
2024,2,8,10/27/2024,Colts,Texans,CBS,1:00 PM
2024,2,8,10/27/2024,Packers,Jaguars,FOX,1:00 PM
2024,2,8,10/27/2024,Cardinals,Dolphins,FOX,1:00 PM
2024,2,8,10/27/2024,Jets,Patriots,CBS,1:00 PM
2024,2,8,10/27/2024,Falcons,Buccaneers,FOX,1:00 PM
2024,2,8,10/27/2024,Bears,Commanders,CBS,1:00 PM
2024,2,8,10/27/2024,Saints,Chargers,FOX,4:05 PM
2024,2,8,10/27/2024,Bills,Seahawks,FOX,4:05 PM
2024,2,8,10/27/2024,Eagles,Bengals,CBS,4:25 PM
2024,2,8,10/27/2024,Panthers,Broncos,CBS,4:25 PM
2024,2,8,10/27/2024,Chiefs,Raiders,CBS,4:25 PM
2024,2,8,10/27/2024,Cowboys,49ers,NBC,8:20 PM
2024,2,8,10/28/2024,Giants,Steelers,ABC,8:15 PM
2024,2,9,10/31/2024,Texans,Jets,Amazon,8:15 PM
2024,2,9,11/3/2024,Cowboys,Falcons,FOX,1:00 PM
2024,2,9,11/3/2024,Dolphins,Bills,CBS,1:00 PM
2024,2,9,11/3/2024,Saints,Panthers,CBS,1:00 PM
2024,2,9,11/3/2024,Raiders,Bengals,CBS,1:00 PM
2024,2,9,11/3/2024,Chargers,Browns,FOX,1:00 PM
2024,2,9,11/3/2024,Colts,Vikings,CBS,1:00 PM
2024,2,9,11/3/2024,Commanders,Giants,CBS,1:00 PM
2024,2,9,11/3/2024,Patriots,Titans,FOX,1:00 PM
