nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,17,Cardinals,1,2,2,8,1,8,8,6,5
2,2015,17,Falcons,15,21,6,18,6,14,18,14,16
3,2015,17,Ravens,24,25,8,26,14,26,10,12,8
4,2015,17,Bills,16,12,28,1,13,15,19,16,19
5,2015,17,Panthers,2,1,24,2,11,6,11,4,6
6,2015,17,Bears,25,23,23,11,21,20,4,23,14
7,2015,17,Bengals,6,7,15,13,15,2,20,7,11
8,2015,17,Browns,30,30,21,22,25,29,22,30,27
9,2015,17,Cowboys,29,31,27,9,22,16,5,22,17
10,2015,17,Broncos,4,19,14,17,16,4,1,3,1
11,2015,17,Lions,23,18,9,32,20,23,15,19,18
12,2015,17,Packers,8,15,25,12,23,12,6,21,15
13,2015,17,Texans,14,22,18,15,19,7,3,10,3
14,2015,17,Colts,18,24,22,29,28,25,24,25,26
15,2015,17,Jaguars,26,14,10,27,18,31,29,15,24
16,2015,17,Chiefs,7,9,30,6,27,3,9,8,7
17,2015,17,Dolphins,27,27,19,23,26,19,21,28,25
18,2015,17,Vikings,11,16,31,4,29,5,12,17,13
19,2015,17,Patriots,3,3,5,30,7,10,17,9,9
20,2015,17,Saints,20,8,1,24,2,32,31,31,31
21,2015,17,Giants,21,6,7,19,8,30,32,24,32
22,2015,17,Jets,5,11,13,10,10,9,13,2,4
23,2015,17,Raiders,13,17,16,28,24,22,26,13,22
24,2015,17,Eagles,19,13,12,14,12,28,28,32,30
25,2015,17,Steelers,9,4,3,16,3,11,30,5,21
26,2015,17,Chargers,28,26,4,31,9,21,14,27,20
27,2015,17,49ers,31,32,29,21,31,18,27,29,29
28,2015,17,Seahawks,10,5,20,3,4,1,2,1,2
29,2015,17,Rams,17,29,32,7,32,13,23,20,23
30,2015,17,Buccaneers,22,20,17,5,5,26,16,11,10
31,2015,17,Titans,32,28,26,25,30,27,7,18,12
32,2015,17,Redskins,12,10,11,20,17,17,25,26,28
