season,gametypeid,week,date,awayteam,hometeam,network,time
2025,2,17,12/25/2025,Cowboys,Commanders,Netflix,1:00 PM
2025,2,17,12/25/2025,Lions,Vikings,Netflix,4:30 PM
2025,2,17,12/25/2025,Broncos,Chiefs,Amazon,8:15 PM
2025,2,17,12/28/2025,Seahawks,Panthers,TBD,1:00 PM
2025,2,17,12/28/2025,Cardinals,Bengals,TBD,1:00 PM
2025,2,17,12/28/2025,Steelers,Browns,CBS,1:00 PM
2025,2,17,12/28/2025,Jaguars,Colts,FOX,1:00 PM
2025,2,17,12/28/2025,Ravens,Packers,TBD,1:00 PM
2025,2,17,12/28/2025,Buccaneers,Dolphins,FOX,1:00 PM
2025,2,17,12/28/2025,Patriots,Jets,CBS,1:00 PM
2025,2,17,12/28/2025,Saints,Titans,CBS,1:00 PM
2025,2,17,12/28/2025,Giants,Raiders,TBD,1:00 PM
2025,2,17,12/28/2025,Texans,Chargers,TBD,1:00 PM
2025,2,17,12/28/2025,Eagles,Bills,FOX,4:25 PM
2025,2,17,12/28/2025,Bears,49ers,NBC,8:20 PM
2025,2,17,12/29/2025,Rams,Falcons,ESPN,8:15 PM
2025,2,18,01/04/2026,Saints,Falcons,TBD,1:00 PM
2025,2,18,01/04/2026,Jets,Bills,TBD,1:00 PM
2025,2,18,01/04/2026,Lions,Bears,TBD,1:00 PM
2025,2,18,01/04/2026,Browns,Bengals,TBD,1:00 PM
2025,2,18,01/04/2026,Chargers,Broncos,TBD,1:00 PM
2025,2,18,01/04/2026,Colts,Texans,TBD,1:00 PM
2025,2,18,01/04/2026,Titans,Jaguars,TBD,1:00 PM
2025,2,18,01/04/2026,Packers,Vikings,TBD,1:00 PM
2025,2,18,01/04/2026,Dolphins,Patriots,TBD,1:00 PM
2025,2,18,01/04/2026,Cowboys,Giants,TBD,1:00 PM
2025,2,18,01/04/2026,Commanders,Eagles,TBD,1:00 PM
2025,2,18,01/04/2026,Ravens,Steelers,TBD,1:00 PM
2025,2,18,01/04/2026,Chiefs,Raiders,TBD,1:00 PM
2025,2,18,01/04/2026,Cardinals,Rams,TBD,1:00 PM
2025,2,18,01/04/2026,Seahawks,49ers,TBD,1:00 PM
2025,2,18,01/04/2026,Panthers,Buccaneers,TBD,1:00 PM
