Week,Day,Date,Visitor,Home,Time
11,Sun,Nov 20,Steelers,Browns,1:00 PM
11,Sun,Nov 20,Titans,Colts,1:00 PM
11,Sun,Nov 20,Ravens,Cowboys,1:00 PM
11,Sun,Nov 20,Jaguars,Lions,1:00 PM
11,Sun,Nov 20,Buccaneers,Chiefs,1:00 PM
11,Sun,Nov 20,Cardinals,Vikings,1:00 PM
11,Sun,Nov 20,Bears,Giants,1:00 PM
11,Sun,Nov 20,Dolphins,Rams,4:05 PM
11,Sun,Nov 20,Eagles,Seahawks,4:25 PM
11,Sun,Nov 20,Patriots,49ers,4:25 PM
11,Sun,Nov 20,Packers,Redskins,8:30 PM
11,Mon,Nov 21,Texans,Raiders,8:30 PM
12,Thu,Nov 24,Vikings,Lions,12:30 PM
12,Thu,Nov 24,Redskins,Cowboys,4:30 PM
12,Thu,Nov 24,Steelers,Colts,8:30 PM
12,Sun,Nov 27,Cardinals,Falcons,1:00 PM
12,Sun,Nov 27,Jaguars,Bills,1:00 PM
12,Sun,Nov 27,Titans,Bears,1:00 PM
12,Sun,Nov 27,Giants,Browns,1:00 PM
12,Sun,Nov 27,Chargers,Texans,1:00 PM
12,Sun,Nov 27,49ers,Dolphins,1:00 PM
12,Sun,Nov 27,Rams,Saints,1:00 PM
12,Sun,Nov 27,Bengals,Ravens,1:00 PM
12,Sun,Nov 27,Seahawks,Buccaneers,4:05 PM
12,Sun,Nov 27,Chiefs,Broncos,4:25 PM
12,Sun,Nov 27,Panthers,Raiders,4:25 PM
12,Sun,Nov 27,Patriots,Jets,8:30 PM
12,Mon,Nov 28,Packers,Eagles,8:30 PM
13,NA,NA,Bye,Bye,"Browns, Titans"
13,Thu,Dec 1,Cowboys,Vikings,8:25 PM
13,Sun,Dec 4,Chiefs,Falcons,1:00 PM
13,Sun,Dec 4,49ers,Bears,1:00 PM
13,Sun,Dec 4,Eagles,Bengals,1:00 PM
13,Sun,Dec 4,Texans,Packers,1:00 PM
13,Sun,Dec 4,Broncos,Jaguars,1:00 PM
13,Sun,Dec 4,Lions,Saints,1:00 PM
13,Sun,Dec 4,Rams,Patriots,1:00 PM
13,Sun,Dec 4,Dolphins,Ravens,1:00 PM
13,Sun,Dec 4,Bills,Raiders,4:05 PM
13,Sun,Dec 4,Redskins,Cardinals,4:25 PM
13,Sun,Dec 4,Giants,Steelers,4:25 PM
13,Sun,Dec 4,Buccaneers,Chargers,4:25 PM
13,Sun,Dec 4,Panthers,Seahawks,8:30 PM
13,Mon,Dec 5,Colts,Jets,8:30 PM
14,Thu,Dec 8,Raiders,Chiefs,8:25 PM
14,Sun,Dec 11,Steelers,Bills,1:00 PM
14,Sun,Dec 11,Chargers,Panthers,1:00 PM
14,Sun,Dec 11,Bengals,Browns,1:00 PM
14,Sun,Dec 11,Texans,Colts,1:00 PM
14,Sun,Dec 11,Bears,Lions,1:00 PM
14,Sun,Dec 11,Vikings,Jaguars,1:00 PM
14,Sun,Dec 11,Cardinals,Dolphins,1:00 PM
14,Sun,Dec 11,Broncos,Titans,1:00 PM
14,Sun,Dec 11,Redskins,Eagles,1:00 PM
14,Sun,Dec 11,Saints,Buccaneers,1:00 PM
14,Sun,Dec 11,Jets,49ers,4:05 PM
14,Sun,Dec 11,Seahawks,Packers,4:25 PM
14,Sun,Dec 11,Falcons,Rams,4:25 PM
14,Sun,Dec 11,Cowboys,Giants,8:30 PM
14,Mon,Dec 12,Ravens,Patriots,8:30 PM
15,Thu,Dec 15,Rams,Seahawks,8:25 PM
15,Sat,Dec 17,Dolphins,Jets,8:25 PM
15,Sun,Dec 18,Browns,Bills,1:00 PM
15,Sun,Dec 18,Packers,Bears,1:00 PM
15,Sun,Dec 18,Buccaneers,Cowboys,1:00 PM
15,Sun,Dec 18,Jaguars,Texans,1:00 PM
15,Sun,Dec 18,Titans,Chiefs,1:00 PM
15,Sun,Dec 18,Colts,Vikings,1:00 PM
15,Sun,Dec 18,Lions,Giants,1:00 PM
15,Sun,Dec 18,Eagles,Ravens,1:00 PM
15,Sun,Dec 18,49ers,Falcons,4:05 PM
15,Sun,Dec 18,Saints,Cardinals,4:05 PM
15,Sun,Dec 18,Patriots,Broncos,4:25 PM
15,Sun,Dec 18,Raiders,Chargers,4:25 PM
15,Sun,Dec 18,Steelers,Bengals,8:30 PM
