Player,Team,Pos,Injury,Status
C.J. Goodwin,19,CB,Pectoral,IR
Marquise Goodwin,7,WR,Back,Questionable
Alfonzo Graham,6,RB,Undisclosed,IR
Jimmy Graham,27,TE,Illness,Questionable
Thomas Graham,7,CB,Ankle,IR
Kylen Granson,12,TE,Concussion,Questionable
Jakeem Grant,7,WR,Kneecap,IR
Danny Gray,30,WR,Shoulder - AC Joint,IR
Eric Gray,20,RB,Calf,IR
J.T. Gray,27,S,Hamstring,Questionable
Kendrick Green,10,OG,Knee - Meniscus,IR
Kenyon Green,10,OG,Shoulder - Labrum,IR
Ethan Greenidge,26,OT,Undisclosed,IR
Jonas Griffith,13,LB,Knee - ACL,IR
Yetur Gross-Matos,25,LB,Hamstring,IR
Javelin Guidry,2,CB,Knee,IR
Jalen Guyton,14,WR,Knee - ACL,PUP-R
Troy Hairston,10,FB,Back,IR
Maalik Hall,2,LB,Undisclosed,IR
Terez Hall,4,LB,Undisclosed,IR
Antonio Hamilton,31,CB,Groin,Questionable
DaVon Hamilton,11,DT,Back,IR-R
Malik Hamm,8,LB,Ankle,IR
Justin Hardee,2,CB,Hamstring,IR
Damien Harris,3,RB,Concussion,IR
Hassan Haskins,9,RB,Undisclosed,IR
J.C. Hassenauer,20,C,Triceps,IR
Marquis Haynes,25,LB,Back,IR
Phil Haynes,29,OG,Calf,Questionable
Charlie Heck,10,OT,Foot,PUP-R
Matt Hembrough,31,C,Back,IR
Peyton Hendershot,19,TE,Ankle,IR
Matt Hennessy,26,OG,Knee,IR
Hunter Henry,4,TE,Ankle,Questionable
Khalil Herbert,23,RB,Ankle,IR
Cameron Heyward,6,DE,Groin,IR-R
Taysom Hill,27,QB,Chest,Questionable
Tyreek Hill,1,WR,Hip,Questionable
Nyheim Hines,3,RB,Knee,NFI-R
Nate Hobbs,15,CB,Ankle,Questionable
T.J. Hockenson,21,TE,Foot,Questionable
Cooper Hodges,11,OT,Knee,IR
