Player,Team,Pos,Injury,Status
Trey Hendrickson,5,DE,Pelvis,IR
Matt Henningsen,13,DT,Achilles,IR
Nick Herbig,6,LB,Hamstring,Questionable
Will Hernandez,31,OG,Hip,IR
Jordan Hicks,7,LB,Undisclosed,Reserve-Ret
Tyler Higbee,32,TE,Ankle,IR
Jay Higgins,8,LB,Knee,IR
Tee Higgins,5,WR,Concussion,Questionable
Justice Hill,8,RB,Neck,IR
Tyreek Hill,1,WR,Knee - ACL,IR
Kurt Hinish,10,DT,Undisclosed,PUP-R
Myles Hinton,17,OT,Back,IR
Cooper Hodges,11,OG,Knee,PUP-R
Michael Hoecht,3,DE,Achilles,IR
George Holani,29,RB,Hamstring,IR
Travis Homer,23,RB,Ankle,Questionable
Tory Horton,29,WR,Shin,IR
Xavien Howard,12,CB,Personal,Reserve-Ret
Sam Hubbard,5,DE,Undisclosed,Reserve-Ret
Mike Hughes,26,CB,Ankle,Out
Robert Hunt,25,OG,Biceps,IR
Travis Hunter,11,WR,Knee,IR
Adin Huntington,7,DE,Quadriceps,Questionable
Germain Ifedi,1,OT,Undisclosed,IR
Keaontay Ingram,16,RB,Undisclosed,IR
Adisa Isaac,8,LB,Elbow,IR-R
Isaiah Iton,4,DE,Hip,IR
Alaric Jackson,32,OT,Ankle,Questionable
Brennan Jackson,15,LB,Foot,IR
Dan Jackson,22,S,Leg,IR
Landon Jackson,3,DE,Knee,IR
Tarron Jackson,30,DE,Undisclosed,IR
Tyree Jackson,18,TE,Undisclosed,IR
Josh Jacobs,24,RB,Knee,Questionable
Javontae Jean-Baptiste,18,DE,Pectoral,IR
Van Jefferson,9,WR,Back,Questionable
Elgton Jenkins,24,C,Lower Leg,IR
Kris Jenkins,5,DT,Ankle,Questionable
Teven Jenkins,7,OG,Shoulder,Questionable
Terrell Jennings,4,RB,Concussion,IR
Anthony Johnson,20,S,Undisclosed,PUP-R
Caleb Johnson,1,LB,Shoulder,IR
Lane Johnson,17,OT,Foot,Questionable
Nazeeh Johnson,16,CB,Shoulder,IR-R
Paris Johnson,31,OT,Knee - MCL,Questionable
Roschon Johnson,23,RB,Thumb,IR
Quentin Johnston,14,WR,Groin,Questionable
Brandon Jones,13,S,Pectoral,IR
Braxton Jones,23,OT,Knee,IR
Broderick Jones,6,OT,Neck,IR
Charlie Jones,5,WR,Ankle,Questionable
Daniel Jones,12,QB,Achilles,IR
Dawand Jones,7,OT,Knee,IR
Dom Jones,7,CB,Knee,IR
Emory Jones,26,QB,Concussion,IR
Jamarco Jones,22,OT,Achilles,IR
Jonathan Jones,18,CB,Ribs,Questionable
Justin Jones,31,DT,Knee,IR
Nic Jones,20,CB,Shoulder,IR
Patrick Jones,25,LB,Back,IR
Rob Jones,19,OG,Neck,IR
Zay Jones,31,WR,Achilles,IR
Brevin Jordan,10,TE,Knee,IR
Kerby Joseph,22,S,Knee,Questionable
PJ Jules,5,S,Ankle,Questionable
Alvin Kamara,27,RB,Knee - MCL,Questionable
Calijah Kancey,28,DT,Pectoral,IR
Trevor Keegan,19,OG,Neck,IR
Kyu Blu Kelly,15,CB,Knee,IR
Anthony Kendall,7,CB,Undisclosed,IR
Donte Kent,6,CB,Ankle,IR
Ko Kieft,28,TE,Leg,IR
Miles Killebrew,6,S,Knee,IR
Jack Kiser,11,LB,Undisclosed,IR
Bam Knight,31,RB,Ankle,Questionable
Kader Kohou,1,CB,Knee - ACL,IR
Bilhal Kone,8,CB,Knee,IR
Tucker Kraft,24,TE,Knee - ACL,IR
Lucas Krull,13,TE,Foot,IR
Quentin Lake,32,S,Elbow,IR
Chris Lammons,12,CB,Foot,IR
Brock Lampe,4,RB,Undisclosed,IR
Willie Lampkin,17,C,Knee,IR
Sam LaPorta,22,TE,Back,IR
Lan Larison,4,RB,Foot,IR
Marshon Lattimore,18,CB,Knee - ACL,IR
DeMarcus Lawrence,29,LB,Quadriceps,Questionable
Matt Lee,5,C,Knee,IR
Will Levis,9,QB,Shoulder,IR
Walker Little,11,OT,Concussion,Questionable
MarShawn Lloyd,24,RB,Calf,IR-R
Tyler Lockett,15,WR,Wrist,Questionable
Drake London,26,WR,Knee - PCL,Questionable
Robert Longerbeam,8,CB,Knee,IR
Isaiahh Loudermilk,6,DE,Ankle,IR
Rick Lovato,14,C,Undisclosed,Reserve-Ret
Dean Lowry,6,DE,Knee,IR
Hunter Luepke,19,FB,Concussion,Questionable
Nnamdi Madubuike,8,DT,Neck,IR
Phil Mafah,19,RB,Shoulder,IR
Christian Mahogany,22,OG,Lower Leg,IR-R
Patrick Mahomes,16,QB,Knee - ACL,Out
Jason Maitre,1,CB,Undisclosed,IR
DeAngelo Malone,26,LB,Ankle,IR
Giovanni Manu,22,OT,Knee,IR
Woody Marks,10,RB,Ankle,Questionable
Nick Martin,30,LB,Concussion,Questionable
Tyrann Mathieu,27,S,Undisclosed,Reserve-Ret
Damarri Mathis,25,CB,Knee - ACL,IR
Alexander Mattison,1,RB,Neck,IR
Cody Mauch,28,OG,Knee,IR
Francisco Mauigoa,2,LB,Neck,Questionable
Luke McCaffrey,18,WR,Collarbone,IR
Jaylen McCollough,32,S,Illness,Questionable
Zyon McCollum,28,CB,Hip,IR
Erik McCoy,27,C,Biceps,IR
Marcelino McCrary-Ball,2,LB,Hamstring,IR
Roger McCreary,32,CB,Hip,IR
Trent McDuffie,16,CB,Knee,Questionable
Micah McFadden,20,LB,Foot,IR
Kaleb McGary,26,OT,Leg,IR
Kenny McIntosh,29,RB,Knee - ACL,IR
Jalen McLeod,11,LB,Lower Body,IR-R
