Offensive  Scoring  Points per Game  Team  Statistics  Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Week  1  Ranking,,,,,,,,,Week 2,,,,,,,,,Week 3,,,,,,,,,Week 4,,,,,,,,,Week 5,,,,,,,,,Week 6,,,,,,,,,Week 7,,,,,,,,,Week 8,,,,,,,,,Week 9,,,,,,,,,Week 10,,,,,,,,,Week 11,,,,,,,,,Week 12,,,,,,,,,Week 13,,,,,,,,,Week 14,,,,,,,,,Week 15,,,,,,,,,Week 16,,,,,,,,,Week 17,,,,,,,,,Week 18,,,,,,,,,Week 19,,,,,,,,,Week 20,,,,,,,,,Week 21,,,,,,,,,Week 22,,,,,,,,,Total,"Avg
Y-p-G",Rank
10,Denver,5,23,31,27,31,6,1,8,1,4,13,26,29,32,26,1,18,2,5,14,18,31,30,3,1,6,1,4,11,25,29,27,2,1,8,1,3,17,23,30,30,2,5,5,1,4,14,18,30,29,4,3,5,2,3,14,18,30,29,2,1,4,1,4,13,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
11,Detroit,12,10,14,28,23,29,32,14,32,20,19,11,31,25,25,24,28,30,24,23,12,32,27,31,26,20,27,25,29,16,32,30,18,24,17,25,26,30,9,32,26,26,17,27,22,31,26,5,32,12,29,22,26,27,24,29,7,32,20,29,24,24,27,31,29,,,,29,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
12,Green Bay,3,8,20,7,19,16,16,31,26,2,5,21,9,16,8,12,31,21,2,4,16,9,9,1,11,27,16,3,6,21,3,10,3,7,21,8,2,5,20,8,10,3,4,28,7,2,5,20,5,11,3,11,24,16,2,5,22,8,11,1,12,22,14,2,5,,,,1,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
13,Houston,20,19,8,16,10,20,19,16,15,26,26,8,24,12,14,11,26,12,25,25,13,12,14,30,12,19,12,21,24,6,21,7,26,11,22,11,28,26,4,20,5,24,10,22,11,30,21,4,23,6,21,13,17,11,26,20,4,27,7,28,15,27,23,29,19,,,,28,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
14,Indianapolis,4,25,12,29,22,21,15,28,17,11,32,13,26,22,22,13,23,13,18,24,17,19,20,22,21,21,20,14,27,12,26,21,15,23,25,27,16,24,15,24,23,17,28,19,28,13,23,13,22,19,18,28,20,29,11,24,10,26,17,20,29,23,32,18,25,,,,20,29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
15,Jacksonville,31,31,28,18,26,12,3,21,6,30,30,18,17,21,20,20,5,9,31,30,22,23,24,32,25,12,21,29,31,20,18,18,25,26,4,18,31,27,12,21,19,31,21,16,19,32,30,12,24,16,30,21,14,19,32,23,15,24,24,30,22,12,19,32,24,,,,30,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
16,Kansas City,14,12,13,17,18,13,25,17,23,7,10,25,12,23,18,23,8,15,10,8,25,14,22,19,28,14,24,12,10,13,15,14,32,28,14,29,18,15,21,18,18,29,27,13,26,19,22,19,20,20,24,25,11,22,29,21,19,18,21,18,23,11,20,22,21,,,,17,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
17,Miami,15,24,24,24,28,4,12,30,19,16,27,10,30,24,15,16,27,23,15,27,10,27,19,21,17,31,26,23,30,17,31,25,19,15,32,30,30,31,14,31,28,20,15,32,29,29,24,16,26,24,12,12,31,24,21,9,13,14,10,15,14,30,21,13,20,,,,18,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
18,Minnesota,17,32,27,26,29,14,4,32,22,25,31,32,8,29,27,15,25,20,16,20,32,3,29,2,16,24,18,13,21,31,2,28,7,12,28,17,14,23,32,2,31,6,12,26,17,16,29,32,6,31,2,14,19,13,15,26,30,6,30,3,11,13,7,11,26,,,,3,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
19,New England,2,9,9,21,12,15,28,27,31,1,2,1,28,2,1,22,29,29,1,2,1,24,1,10,18,23,19,1,1,1,27,1,17,18,23,20,1,2,1,23,1,8,11,20,12,1,1,2,21,2,10,16,22,17,1,1,2,31,2,12,18,19,15,1,1,,,,8,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
