Player,Team,Pos,Injury,Status
Kahlef Hailassie,CLE,CB,Coach's Decision,Inactive
Michael Woods,CLE,WR,Achilles,NFI-R
Nick Chubb,CLE,RB,Knee - ACL + MCL,IR
Ronnie Hickman,CLE,S,Coach's Decision,Inactive
Siaki Ika,CLE,DT,Coach's Decision,Inactive
Thomas Graham,CLE,CB,Ankle,IR
C.J. Goodwin,DAL,CB,Pectoral,Out
Chuma Edoga,DAL,OT,Illness,Questionable
David Durden,DAL,WR,Knee - ACL,IR
DeMarvion Overshown,DAL,LB,Knee - ACL,IR
John Stephens,DAL,TE,Knee - ACL,IR
Josh Ball,DAL,OT,Hip,IR
Juanyeh Thomas,DAL,S,Hamstring,Doubtful
Leighton Vander Esch,DAL,LB,Neck,Out
Matt Waletzko,DAL,OT,Shoulder,IR
Nahshon Wright,DAL,CB,Ankle,IR-R
Peyton Hendershot,DAL,TE,Ankle,IR
Trevon Diggs,DAL,CB,Knee - ACL,IR
Alex Forsyth,DEN,C,Coach's Decision,Inactive
Alex Palczewski,DEN,OT,Hand,IR
Baron Browning,DEN,LB,Knee,PUP-R
Caden Sterns,DEN,S,Knee,IR
D.J. Jones,DEN,DT,Knee,Inactive
Elijah Garcia,DEN,DT,Coach's Decision,Inactive
Eyioma Uwazurike,DEN,DT,Suspension,Reserve-Sus
Greg Dulcich,DEN,TE,Hamstring,Questionable
Jalen Virgil,DEN,WR,Knee - Meniscus,IR
JL Skinner,DEN,S,Coach's Decision,Inactive
Jonas Griffith,DEN,LB,Knee - ACL,IR
K'Waun Williams,DEN,CB,Ankle,IR
Nate Adkins,DEN,TE,Coach's Decision,Inactive
Samaje Perine,DEN,RB,Leg,Questionable
Thomas Incoom,DEN,LB,Coach's Decision,Inactive
Tim Patrick,DEN,WR,Achilles,IR
Brian Branch,DET,S,Ankle,Inactive
Brodric Martin,DET,DT,Coach's Decision,Inactive
C.J. Gardner-Johnson,DET,S,Pectoral,IR
David Montgomery,DET,RB,Ribs,Questionable
Emmanuel Moseley,DET,CB,Knee - ACL,IR
Hendon Hooker,DET,QB,Knee - ACL,NFI-R
Jahmyr Gibbs,DET,RB,Hamstring,Inactive
James Houston,DET,LB,Ankle,IR
James Mitchell,DET,TE,Hamstring,Inactive
Jason Cabinda,DET,FB,Knee,IR
Jonah Jackson,DET,OG,Ankle,Inactive
Josh Paschal,DET,DE,Knee,IR-R
Matt Nelson,DET,OT,Ankle,IR
Nate Sudfeld,DET,QB,Knee - ACL,IR
Shane Zylstra,DET,TE,Knee,IR
Steven Gilmore,DET,CB,Coach's Decision,Inactive
Zonovan Knight,DET,RB,Shoulder,IR
A.Q. Shipley,FA,C,Neck,Questionable
Abraham Beauplan,FA,LB,Undisclosed,Questionable
Adam Shaheen,FA,TE,Knee,Questionable
Adrian Colbert,FA,S,Undisclosed,Questionable
AJ Parker,FA,CB,Hamstring,Questionable
Akial Byers,FA,DT,Undisclosed,Questionable
Aldrick Rosas,FA,K,Undisclosed,Questionable
Alex Bachman,FA,WR,Oblique,Questionable
Alex Redmond,FA,OG,Undisclosed,Questionable
Alize Mack,FA,TE,Undisclosed,Questionable
Allen Hurns,FA,WR,Wrist,Questionable
Amani Bledsoe,FA,DE,Suspension,Reserve-Sus
Amani Oruwariye,FA,CB,Neck,Questionable
Andrew Adams,FA,S,Knee,Questionable
Andrew Norwell,FA,OG,Hip,Questionable
Andrew Parchment,FA,WR,Undisclosed,Questionable
Anthony McKinney,FA,OT,Undisclosed,Questionable
Anthony Schwartz,FA,WR,Hamstring,Questionable
Anthony Witherstone,FA,CB,Toe,Questionable
Armani Watts,FA,S,Ankle,Questionable
Austin Proehl,FA,WR,Undisclosed,Questionable
B.J. Bello,FA,LB,Ankle,Questionable
Barry Wesley,FA,OT,Undisclosed,Out
Beau Brinkley,FA,C,Undisclosed,Questionable
Ben Braden,FA,OG,Undisclosed,Questionable
Ben Garland,FA,C,Calf,Questionable
Ben Jones,FA,C,Undisclosed,Questionable
