nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,13,Cardinals,4,1,4,11,1,10,10,4,5
2,2015,13,Falcons,15,14,5,15,5,13,15,11,11
3,2015,13,Ravens,25,15,10,18,11,24,24,8,17
4,2015,13,Bills,19,10,28,5,19,16,23,14,19
5,2015,13,Panthers,1,3,29,4,17,3,5,2,2
6,2015,13,Bears,20,25,21,16,20,19,2,29,14
7,2015,13,Bengals,5,4,13,9,7,1,17,13,15
8,2015,13,Browns,32,28,11,32,26,31,25,31,30
9,2015,13,Cowboys,29,29,27,12,29,18,7,15,7
10,2015,13,Broncos,3,16,18,17,21,4,1,3,1
11,2015,13,Lions,21,26,7,31,23,28,16,22,18
12,2015,13,Packers,8,12,23,10,24,6,18,23,21
13,2015,13,Texans,11,23,12,19,13,14,3,16,6
14,2015,13,Colts,14,17,14,26,22,17,27,24,26
15,2015,13,Jaguars,28,22,15,24,18,29,26,6,20
16,2015,13,Chiefs,10,6,24,6,16,7,11,9,10
17,2015,13,Dolphins,23,27,17,27,27,27,21,32,28
18,2015,13,Vikings,6,24,31,1,28,2,4,20,9
19,2015,13,Patriots,2,2,1,29,2,5,19,10,16
20,2015,13,Saints,22,13,3,21,3,32,31,30,31
21,2015,13,Giants,18,5,9,28,15,24,32,19,32
22,2015,13,Jets,12,7,20,14,14,9,12,1,3
23,2015,13,Raiders,16,11,8,23,10,26,29,19,27
24,2015,13,Eagles,24,20,16,13,12,23,20,27,25
25,2015,13,Steelers,9,9,6,8,4,11,30,7,23
26,2015,13,Chargers,27,19,2,30,6,30,22,26,24
27,2015,13,49ers,31,32,30,20,32,21,28,25,29
28,2015,13,Seahawks,7,8,22,2,8,8,9,5,4
29,2015,13,Rams,26,31,32,7,31,12,8,21,13
30,2015,13,Buccaneers,17,18,25,3,9,25,14,12,12
31,2015,13,Titans,30,30,26,25,30,15,6,17,8
32,2015,13,Redskins,13,21,19,22,25,20,13,28,22
