nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,14,Cardinals,2,1,3,8,1,4,8,4,4
2,2015,14,Falcons,15,14,6,16,5,12,11,12,15
3,2015,14,Ravens,30,17,10,21,11,19,19,10,17
4,2015,14,Bills,12,10,29,4,17,16,23,14,20
5,2015,14,Panthers,1,3,27,3,14,9,7,2,3
6,2015,14,Bears,19,24,20,12,19,18,2,29,12
7,2015,14,Bengals,3,4,12,9,8,1,13,9,10
8,2015,14,Browns,32,30,13,32,26,31,25,31,29
9,2015,14,Cowboys,23,29,28,13,27,15,5,15,5
10,2015,14,Broncos,4,19,18,17,21,2,1,5,1
11,2015,14,Lions,20,22,9,31,20,28,16,18,17
12,2015,14,Packers,7,12,23,15,22,6,20,20,19
13,2015,14,Texans,13,23,11,19,13,14,3,21,7
14,2015,14,Colts,16,20,16,27,24,26,30,24,30
15,2015,14,Jaguars,29,16,14,24,18,30,26,13,23
16,2015,14,Chiefs,9,5,26,7,23,8,14,8,11
17,2015,14,Dolphins,24,27,22,23,29,24,22,30,27
18,2015,14,Vikings,11,28,31,5,30,5,6,22,16
19,2015,14,Patriots,5,2,1,28,3,10,15,11,13
20,2015,14,Saints,25,9,2,25,4,32,31,32,32
21,2015,14,Giants,20,7,7,29,15,22,32,19,31
22,2015,14,Jets,10,11,15,14,10,11,18,1,6
23,2015,14,Raiders,17,13,8,22,12,27,28,17,25
24,2015,14,Eagles,19,15,19,11,16,25,24,27,26
25,2015,14,Steelers,8,6,5,6,2,7,29,6,22
26,2015,14,Chargers,31,25,4,30,6,29,21,26,24
27,2015,14,49ers,26,32,30,20,32,20,27,28,28
28,2015,14,Seahawks,6,8,21,1,7,3,4,3,2
29,2015,14,Rams,28,31,32,10,31,13,12,23,18
30,2015,14,Buccaneers,14,18,24,2,9,23,17,7,9
31,2015,14,Titans,27,26,25,18,28,21,9,16,8
32,2015,14,Redskins,18,21,17,26,25,17,10,25,21
